datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,41,31.46,48.02,0,16.553356,290,6.487126,18.68,23,42,996.4,2280.555557,0,16.56,36.64407767,45.05464512,25.21433218,9.018746184
2014-01-02,37.22,27.86,48.56,0,10.961006,270,4.47388,14,16,41.8,1003,2708.333335,0,20.7,33.65965343,46.86856923,22.75705626,8.887055441
2014-01-03,31.28,21.2,45.5,0,3.35541,140,1.342164,16.16,28,55.8,1000.1,1494.444446,0,24.3,31.72385412,46.93371385,20.9421814,8.92211694
2014-01-04,34.52,21.56,47.3,0,10.06623,110,2.684328,23.54,35,65.6,1001.2,2455.555558,0,25.74,32.60851314,46.94981985,18.0652162,9.132951076
2014-01-05,35.06,29.84,44.78,0,8.276678,270,2.684328,21.38,30,60,1005,1988.88889,0,14.94,33.21448385,44.12195656,27.35676702,9.045678445
2014-01-06,30.74,19.04,45.14,0,4.697574,290,1.342164,16.16,26,57.4,1010.5,2647.222224,0,26.1,31.14626451,46.54865411,18.63182296,9.095170335
2014-01-07,31.82,17.42,43.34,0,7.82929,290,2.013246,19.4,39,62,1007.8,1988.88889,0,25.92,30.74547901,43.41338935,14.91059108,9.141910686
2014-01-08,34.7,29.66,41.9,0,11.632088,290,2.908022,23.54,43,63.9,1001.7,747.2222228,0,12.24,32.49477558,40.62084807,26.80652483,9.140244936
2014-01-09,23.54,15.44,30.92,0,13.42164,270,7.158208,-6.52,11,28.3,1008.1,3061.111114,0,15.48,15.17549989,24.08493036,5.396856697,8.964463903
2014-01-10,23.36,10.4,34.7,0,9.842536,270,3.802798,6.08,29,48.1,1013.2,2608.333335,0,24.3,18.35586109,31.40663448,3.440691506,9.085704948
2014-01-11,28.04,15.26,40.1,0,10.289924,270,3.131716,12.92,27,55.9,1013.2,2366.666669,0,24.84,24.64192787,38.32604862,10.14084468,9.081989275
2014-01-12,29.48,19.4,41.54,0,13.645334,270,4.250186,14.36,35,54.5,1009.3,1661.111112,0,22.14,24.88448578,38.87850881,13.18798891,8.997241585
2014-01-13,24.44,15.44,37.4,0,6.934514,290,3.579104,-2.56,13,33.3,1012.9,3025.000002,0,21.96,19.9012283,34.75017287,9.589461233,8.915009991
