datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,41.18,37.58,44.78,0,24.830034,290,14.987498,-5.7,29,45.9,996.6,4233.698864,0,7.2,33.35085157,37.96156601,28.74013713,9.895836036
2014-01-02,37.04,31.64,42.08,0,19.237684,200,6.934514,-9.1,20,42.4,1003.2,4233.698864,0,10.44,31.61149998,37.6810309,25.10843113,9.449792125
2014-01-03,38.84,32.18,44.24,0,19.685072,200,10.737312,-3,33,63.6,1000.2,4233.698864,0,12.06,31.88801723,38.61911251,23.58633304,9.741020896
2014-01-04,31.1,28.76,34.52,0,10.513618,20,7.158208,-10.6,39,46.4,1003.6,4233.698864,0,5.76,24.30223354,28.430994,21.47729217,9.080790449
2014-01-05,33.62,28.94,39.38,0,9.618842,90,5.59235,-7.1,41,55.5,1006.2,4233.698864,0,10.44,28.47882755,35.30186729,22.93510775,9.107506265
2014-01-06,36.68,31.64,39.56,0,17.224438,110,10.289924,-2.5,61,69,1008.7,4233.698864,0,7.92,29.39469933,32.9724013,23.13372088,9.602798143
2014-01-07,38.84,36.32,41.36,0.05905515,11.408394,230,6.71082,0.9,59,82.3,1006.7,4233.698864,0,5.04,33.91576065,36.94284154,30.88867976,9.131256372
2014-01-08,27.14,20.3,37.04,0,16.329662,290,10.737312,-10.2,44,56.5,1007,4233.698864,0,16.74,17.30397744,29.6443188,8.777923412,9.463469237
2014-01-09,21.38,18.14,25.52,0.04724412,15.211192,290,8.724066,-13.8,35,54.9,1011.6,4233.698864,0.9842525,7.38,11.39537354,16.4713296,7.422886184,9.370264189
2014-01-10,28.58,21.2,34.16,0.05511814,20.579848,290,8.94776,-7.3,37,68.5,1012.2,4233.698864,1.968505,12.96,20.08804018,26.94323958,11.02148613,9.729506294
2014-01-11,32.54,29.84,35.78,0.00787402,19.908766,290,8.724066,-6.3,40,62.9,1012.5,4233.698864,0.5118113,5.94,25.07838553,29.05087289,21.76797941,9.721653666
2014-01-12,26.6,20.84,36.5,0,20.356154,290,10.961006,-11.6,38,51.6,1012.4,4233.698864,0,15.66,16.51309091,28.87387905,9.321359636,9.806978213
2014-01-13,23.72,20.66,28.22,0,9.171454,320,5.144962,-11.9,47,57.1,1014.9,4233.698864,0,7.56,17.19873679,22.49565818,13.59683025,9.087579918
2014-01-14,26.42,23.54,30.38,0.00787402,10.289924,90,5.59235,-8.1,58,68.6,1015,4233.698864,0.1574804,6.84,19.95002786,24.64086769,16.53850799,9.1616993
2014-01-15,31.82,25.52,37.58,0,14.987498,290,6.71082,-6.9,51,60.1,1013.7,4233.698864,0,12.06,25.48317817,32.4022202,17.91547594,9.311642372
2014-01-16,35.96,32,39.74,0,13.42164,290,8.052984,-4.7,42,61,1010.4,4233.698864,0,7.74,29.63827529,34.24376304,24.81347859,9.215246292
2014-01-17,33.08,30.56,37.58,0,16.105968,290,5.59235,-7.3,42,55.8,1009.1,4233.698864,0,7.02,27.83916757,33.16966737,24.85408768,9.4038041
2014-01-18,29.48,27.5,33.08,0,19.908766,290,10.961006,-10.1,42,51.5,1011.4,4233.698864,0,5.58,20.10895655,24.6037886,17.63679892,9.767796745
2014-01-19,30.74,25.7,35.06,0.05905515,16.553356,230,7.158208,-6.5,51,65.3,1008.7,4233.698864,0.1181103,9.36,23.86762718,29.08290355,17.78313808,9.438616501
2014-01-20,29.3,20.48,37.58,0.04724412,28.409138,290,15.65858,-6.1,53,71.3,1002,4233.698864,0.4724412,17.1,17.88360955,28.52664346,6.546464731,10.16337505
2014-01-21,23.36,20.3,26.78,0,18.119214,290,10.737312,-10.6,53,63.9,1008.5,4233.698864,0.4724412,6.48,12.59221074,16.85523776,8.777923412,9.755580755
2014-01-22,31.46,26.6,36.14,0,12.30317,290,7.605596,-8.2,44,55.4,1009.6,4233.698864,0.1968505,9.54,24.43901079,30.11561299,18.54407774,9.148155128
2014-01-23,38.66,34.52,41.54,0,24.158952,200,14.316416,-2.8,47,62.4,1005.8,4233.698864,0,7.02,30.33983242,34.01453863,25.05744223,9.987486604
2014-01-24,42.08,39.92,45.68,0,17.000744,230,10.289924,3.2,73,85,1000.4,4233.698864,0,5.76,36.10289052,40.57501799,33.41961405,9.557511723
2014-01-25,35.06,26.06,40.82,0.13779535,16.329662,320,8.724066,-2.5,46,75.5,1001.6,4233.698864,0,14.76,28.16809792,35.23029766,17.13341083,9.608937216
2014-01-26,26.06,22.82,29.84,0,13.197946,320,6.934514,-12.5,38,49.4,1011.4,4233.698864,0,7.02,18.38859333,22.94074152,14.48675202,9.061121803
2014-01-27,37.4,27.14,41.72,0,28.632832,200,18.119214,-1.9,53,70.8,1004.1,4233.698864,0,14.58,27.57017494,33.19082585,14.22112903,10.58861519
2014-01-28,27.68,24.44,39.92,0,17.000744,290,7.605596,-11.3,36,50.8,1008.5,4233.698864,0,15.48,19.85406286,34.70056092,15.9241075,9.397398555
2014-01-29,32.9,24.08,40.46,0,18.119214,160,10.737312,-4.1,54,71.9,1002.5,4233.698864,0,16.38,24.48381241,33.90734581,13.48969011,9.671008426
2014-01-30,35.96,29.48,41.18,0,16.77705,270,9.618842,-4.1,37,66.4,999.2,4233.698864,0,11.7,28.81783916,35.26764656,20.81118168,9.566437106
2014-01-31,32.36,26.24,36.5,0,17.000744,90,9.842536,-12.9,23,37.1,1004.9,4233.698864,0,10.26,24.25368175,29.37841507,16.67798903,9.14136232
2014-02-01,36.5,32.9,39.56,0.45275615,19.908766,70,12.30317,-3.3,26,71.4,996.8,4233.698864,0,6.66,28.32263969,32.17904038,23.7856977,9.835330447
2014-02-02,36.86,30.2,40.64,0,17.448132,290,8.276678,-0.5,41,82.3,994.1,4233.698864,0,10.44,30.61218243,35.22758278,22.48028656,9.591819056
2014-02-03,22.28,19.58,30.2,0,16.77705,320,11.1847,-16.3,34,41.9,1002.9,4233.698864,0,10.62,10.99474691,20.89945679,7.618141273,9.165763977
2014-02-04,21.38,17.78,25.52,0,18.342908,290,8.94776,-17.3,33,40.3,1008.5,4233.698864,0,7.74,11.2426216,16.32873728,6.819912308,9.512977346
2014-02-05,22.82,18.5,27.86,0,14.092722,50,7.605596,-16.8,28,39.6,1011.4,4233.698864,0,9.36,13.95912981,20.07239372,8.719189323,9.045525047
2014-02-06,27.14,23.9,32.18,0,11.1847,50,7.158208,-14.2,30,41.1,1009.3,4233.698864,0,8.28,19.52156354,25.60605263,15.61010626,9.049814909
2014-02-07,30.38,26.06,36.14,0.1181103,11.408394,70,6.263432,-8.5,38,58.5,1003.2,4233.698864,1.0629927,10.08,24.09228862,30.97467238,18.9305008,9.081839736
2014-02-08,28.76,25.88,30.74,0.23228359,12.079476,320,6.039738,-3.4,67,88.9,1001.1,4233.698864,3.1889781,4.86,22.33913358,24.69836636,18.90752225,9.093614004
2014-02-09,22.82,21.2,25.88,0,10.737312,340,8.052984,-11.4,51,61.4,1006.6,4233.698864,3.1889781,4.68,13.62872261,17.3569746,11.65494214,9.182341845
2014-02-10,23.36,18.86,28.22,0,10.289924,20,6.71082,-11.2,44,61.4,1009.7,4233.698864,2.4409462,9.36,15.32083517,21.15877689,9.915333577,9.098189779
2014-02-11,27.86,22.82,33.8,0,10.06623,70,5.59235,-10.2,40,54.6,1009,4233.698864,2.1653555,10.98,21.6557878,28.69204754,15.68562802,9.11869876
2014-02-12,28.76,24.62,32.9,0,7.158208,20,5.144962,-9.8,34,54.4,1011.7,4233.698864,1.2992133,8.28,23.13128874,28.00445642,18.25812107,9.07323295
2014-02-13,30.02,27.5,34.88,0,10.289924,70,5.144962,-9.9,43,51.4,1013.5,4233.698864,1.181103,7.38,24.61442673,30.33510183,21.64815076,9.154981448
2014-02-14,32.36,27.86,39.2,0,12.750558,90,5.816044,-5.7,44,65.1,1010.2,4233.698864,0.9055123,11.34,26.80457827,34.93118208,21.4581284,9.121715372
2014-02-15,34.52,30.2,40.82,0,9.171454,290,4.697574,-4.3,34,66.9,1009.7,4233.698864,0,10.62,30.30558683,37.67069807,25.25522483,9.151834688
2014-02-16,36.14,33.26,43.7,0,8.500372,270,4.026492,-2.2,57,72.4,1010.8,4233.698864,0,10.44,32.83293334,41.57021625,29.50444461,9.108171467
2014-02-17,32.54,31.1,35.78,0,11.855782,70,6.71082,-8.8,40,51.3,1011.4,4233.698864,0,4.68,26.34805842,30.24001957,24.61829791,9.122658881
2014-02-18,31.64,27.68,36.68,0,13.645334,70,6.263432,-6.3,43,63.4,1009.9,4233.698864,0,9,25.59781007,31.61989586,20.86617123,9.104379105
2014-02-19,33.44,29.66,39.92,0,11.408394,320,6.039738,-6.3,49,59.3,1008.4,4233.698864,0,10.26,27.91550198,35.63662745,23.41151211,9.069424865
2014-02-20,31.82,29.66,35.24,0,14.987498,290,8.724066,-9.4,39,49.6,1010.6,4233.698864,0,5.58,24.19561057,28.38879166,21.54728566,9.245329714
2014-02-21,34.7,31.46,39.2,0,12.974252,290,8.724066,-5.8,43,58.8,1012.5,4233.698864,0,7.74,27.72671044,33.24405398,23.75422308,9.214037987
2014-02-22,35.6,33.08,40.82,0,10.961006,250,5.816044,-0.6,68,82.9,1013.5,4233.698864,0,7.74,30.65402218,36.85590403,27.66001025,9.158994278
2014-02-23,37.4,34.52,44.42,0,8.052984,200,4.026492,-1.7,54,71.4,1013.4,4233.698864,0,9.9,34.28914716,42.40233843,30.96065843,9.126755721
2014-02-24,39.2,35.6,44.6,0,14.763804,230,6.039738,0.7,60,80.4,1011.7,4233.698864,0,9,34.77872462,41.21299585,30.48921047,9.322645945
2014-02-25,40.1,35.6,48.56,0,9.842536,200,4.250186,-2.8,41,61.5,1011,4233.698864,0,12.96,37.20758069,47.02428342,31.9859303,9.135778481
2014-02-26,42.8,34.88,52.52,0,10.513618,70,6.71082,-2.8,40,53.5,1006.8,4233.698864,0,17.64,38.67260205,50.34848549,29.15891925,9.02229358
2014-02-27,39.38,33.26,47.3,0,13.197946,290,8.500372,-3,41,61,1004.4,4233.698864,0,14.04,33.57569178,43.2663574,26.08745016,9.191451945
2014-02-28,34.7,30.92,40.82,0,11.408394,70,6.71082,-4.8,51,62.6,1005.1,4233.698864,0,9.9,28.94269918,36.29418135,24.40207785,9.09746617
2014-03-01,36.86,34.88,40.1,0,10.961006,290,7.158208,-4.6,50,58.6,1002.8,4233.698864,0,5.22,31.25593537,35.16739265,28.86560037,9.113006534
2014-03-02,35.96,32.9,40.64,0,12.30317,320,6.039738,-5,46,59.3,1005.7,4233.698864,0,7.74,30.91816188,36.49453028,27.27207485,9.04404995
2014-03-03,38.84,34.16,43.88,0,18.566602,200,10.289924,-2.5,19,64.8,1007.9,4233.698864,0,9.72,32.07797581,38.33895426,26.2642101,9.718163659
2014-03-04,38.66,32.9,44.06,0,21.922012,230,14.54011,-0.5,56,75.1,1004.7,4233.698864,0,11.16,30.26674224,37.16559389,22.90796714,9.970938363
2014-03-05,33.08,30.56,37.58,0,21.027236,290,9.842536,-12.5,29,37.3,1008.5,4233.698864,0,7.02,25.14493972,30.71530202,22.02553683,9.549303812
2014-03-06,31.82,28.04,37.76,0,15.882274,290,8.052984,-11.2,34,43.3,1010.2,4233.698864,0,9.72,24.59416965,31.83136469,19.98868189,9.143870846
2014-03-07,32.18,26.78,37.58,0,15.211192,290,8.724066,-11,33,43.4,1012.3,4233.698864,0,10.8,24.63699805,31.25781031,18.01618579,9.09293674
2014-03-08,34.52,31.1,38.66,0.01574804,13.869028,290,6.71082,-6.7,34,57.6,1006.8,4233.698864,0,7.56,28.72647912,33.69954059,24.61829791,9.083074845
2014-03-09,33.62,31.28,37.4,0.0393701,21.027236,290,10.513618,-9.3,25,50,1005.6,4233.698864,0,6.12,25.48639363,30.19021554,22.57450387,9.685377819
2014-03-10,32.9,28.94,38.66,0,16.553356,230,7.605596,-9.7,34,46.9,1009.2,4233.698864,0,9.72,26.18565762,33.17224494,21.38237884,9.206546022
2014-03-11,41,34.88,45.32,0,20.579848,230,12.974252,2.3,64,83.1,1005.5,4233.698864,0,10.44,33.76146215,39.22934107,26.01530034,9.915214973
2014-03-12,38.3,35.6,41.54,0,15.211192,160,7.82929,-1,51,74,1000.8,4233.698864,0,5.94,32.61095941,36.54982321,29.32857291,9.36229676
2014-03-13,36.5,33.8,41.72,0,13.645334,290,9.171454,-5,49,57.6,998.7,4233.698864,0,7.92,29.704757,36.13022919,26.38123691,9.16340953
2014-03-14,37.22,34.34,41.72,0,14.316416,290,9.842536,-4.3,42,59.6,1001.6,4233.698864,0,7.38,30.26967304,35.84003534,26.70464117,9.344953796
2014-03-15,42.62,36.5,47.48,0,23.935258,230,16.553356,2.4,66,78.9,998.3,4233.698864,0,10.98,34.76188537,41.0376989,26.85900907,9.932851599
2014-03-16,42.08,35.6,52.34,0,21.698318,110,14.092722,3.3,54,86.4,1001.1,4233.698864,0,16.74,34.77196937,47.84621265,26.51455257,9.91691031
2014-03-17,42.62,39.02,48.92,0,26.395892,230,17.000744,5.4,96,96.5,997.1,4233.698864,0,9.9,34.64443787,42.79779599,29.98537608,10.47997879
2014-03-18,40.82,37.22,45.68,0,18.790296,270,7.381902,0.4,55,74.1,999.4,4233.698864,0,8.46,35.91285482,41.7940909,31.55638364,9.618467015
2014-03-19,42.62,37.94,50.18,0,12.974252,290,7.82929,-2.2,32,57.6,999.3,4233.698864,0,12.24,37.86277781,47.05346001,32.17330788,9.13191793
2014-03-20,39.92,38.48,42.08,0,19.685072,290,12.750558,-3.5,50,56.5,1000.4,4233.698864,0,3.6,32.47273202,35.20280477,30.65268352,9.905046434
2014-03-21,41,37.4,47.66,0,18.342908,230,11.408394,-1.7,27,63.3,1003.7,4233.698864,0,10.26,34.32078145,42.66303803,29.81145356,9.808556115
2014-03-22,44.42,38.12,53.06,0,18.119214,230,11.408394,2.2,49,73.6,1004.1,4233.698864,0,14.94,38.60464293,49.42702985,30.71331914,9.828867276
2014-03-23,45.14,42.62,50.36,0,22.816788,230,16.105968,2.7,59,73.5,1007.5,4233.698864,0,7.74,38.12877227,44.85416652,34.88203021,10.0099381
