datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,45.14,40.82,49.82,0,19.461378,250,11.855782,-6.6,20,37.1,1006.4,2791.6689,0,9,39.35656451,45.23692447,33.92853992,9.686619959
2014-01-02,45.32,38.84,53.6,0,12.974252,270,6.039738,-8.9,18,31.9,1011.9,2666.6688,0,14.76,42.07089868,51.93678124,34.34977321,8.971594393
2014-01-03,46.58,41.18,56.3,0,11.1847,340,5.368656,-10.5,17,26,1008,2155.55728,0,15.12,43.96646269,55.4447124,37.58965729,8.933421529
2014-01-04,45.32,40.28,54.32,0,12.974252,340,6.039738,-3,25,49.6,1008.4,2580.55762,0,14.04,42.07089868,52.79468407,36.06557887,9.036351775
2014-01-05,43.7,38.3,52.34,0,12.974252,360,6.487126,-5.1,23,46.6,1012.4,2986.1135,0,14.04,39.87891131,50.23037893,33.40924404,9.086873615
2014-01-06,41.9,33.08,51.98,0,16.553356,360,5.59235,-9.4,27,33.3,1018.2,2866.66896,0,18.9,38.28694718,50.22726674,27.83916757,9.003462399
2014-01-07,44.42,39.2,51.26,0,14.316416,340,6.934514,-9,24,31.4,1015.8,2763.8911,0,12.06,40.4990274,48.73624794,34.21272752,9.01025947
2014-01-08,39.38,36.14,44.42,0.2755907,18.342908,340,6.263432,-1.9,34,69,1008.9,319.4447,0,8.28,34.84601325,40.86809904,30.97467238,9.629487783
2014-01-09,29.48,22.82,37.4,0,20.803542,360,9.171454,-20.6,14,22.3,1015.3,3555.5584,0,14.58,21.06360475,30.81259704,12.86558852,9.564048503
2014-01-10,31.28,22.28,40.1,0,14.092722,360,6.487126,-13.2,19,37.5,1021.6,3258.33594,0,17.82,24.9986766,35.5657998,14.21589783,8.950834236
2014-01-11,35.24,28.94,43.16,0,12.079476,290,5.816044,-9.1,34,44.5,1021.9,2975.00238,0,14.22,30.22630619,39.63605797,22.74127637,9.059163678
2014-01-12,37.58,30.92,46.04,0,10.737312,360,5.59235,-7.8,30,45.4,1018.2,2550.00204,0,15.12,33.16966737,43.191007,25.28052766,9.087896979
2014-01-13,33.08,27.32,42.44,0,16.77705,340,7.82929,-19.2,12,22.6,1020.1,3544.44728,0,15.12,26.26501218,37.64395204,19.26258765,9.20578049
2014-01-14,34.16,26.06,44.96,0,17.448132,340,9.395148,-19,15,20.9,1021.3,3519.44726,0,18.9,26.70791714,40.02742366,16.71828725,9.27411215
2014-01-15,35.06,28.22,45.14,0,17.224438,360,8.052984,-16.1,17,25.6,1021.3,3505.55836,0,16.92,28.54173058,40.82303127,20.20799083,9.189329562
2014-01-16,37.4,30.02,47.12,0,20.579848,340,9.171454,-10.2,24,37.5,1018.8,3330.55822,0,17.1,30.81259704,42.77726938,21.72830877,9.527648311
2014-01-17,39.38,33.44,48.2,0,12.526864,340,6.71082,-8.2,28,41.4,1016.6,2852.78006,0,14.76,34.56442084,45.15920396,27.42915874,9.026671568
2014-01-18,36.5,30.56,44.78,0,14.316416,340,7.381902,-11,21,37,1016.2,2788.89112,0,14.22,30.68508941,40.70497311,23.49691197,9.05796659
2014-01-19,36.14,26.42,45.32,0,15.882274,340,7.605596,-12.4,16,34.1,1019.4,3527.7806,0,18.9,30.11561299,41.25048653,18.32574689,9.08309217
2014-01-20,41.36,35.96,48.74,0.00393701,20.13246,290,10.513618,-4.5,23,52.1,1010.5,1944.446,0,12.78,35.11802897,44.30168127,28.39828338,9.795159795
2014-01-21,32.54,27.68,40.1,0,21.027236,290,9.842536,-11,29,43.1,1013.2,3108.33582,0,12.42,24.47649625,33.83470491,18.46050496,9.595858647
2014-01-22,33.08,24.8,43.16,0,21.25093,340,9.618842,-13.4,18,37.1,1017.6,3594.44732,0,18.36,25.25932472,37.71412524,15.02859573,9.547869542
2014-01-23,38.84,30.2,48.92,0,13.42164,340,8.052984,-8.4,21,41.8,1017.4,3697.22518,0,18.72,33.14721834,45.42851902,22.62038918,8.98713426
2014-01-24,48.38,38.3,58.1,0,21.027236,270,13.197946,1.5,47,59.4,1013,3286.11374,0,19.8,43.04023427,55.36011186,30.26406492,9.934621993
2014-01-25,53.6,46.94,59.54,0.05905515,21.027236,230,10.737312,6,55,67.4,1007.2,761.11172,0,12.6,50.28634434,57.69054916,41.98466016,9.736708957
