datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,40.64,32.18,50.54,0,9.618842,250,3.579104,23.9,25,53,1008.4,2591.666669,0,18.36,38.46240902,49.80535279,28.76934798,9.03982881
2014-01-02,37.76,30.74,46.58,0,5.368656,270,2.013246,17.78,23,47,1014.3,2902.77778,0,15.84,37.27737028,46.97623913,29.55786241,9.073972802
2014-01-03,36.14,26.78,47.48,0,4.47388,20,1.342164,22.46,31,59.5,1010.7,1830.555557,0,20.7,36.92216061,49.05154242,26.91060737,8.921285854
2014-01-04,34.34,28.76,42.08,0,4.697574,230,2.013246,18.32,24,53.4,1012.3,2925.000002,0,13.32,33.51658439,42.02783666,27.38056532,9.087869891
2014-01-05,31.82,23.54,40.82,0,3.579104,230,1.342164,18.68,36,60.3,1016.8,2627.77778,0,17.28,32.30144373,41.92793723,23.44506971,8.949235023
2014-01-06,33.26,23.54,43.34,0,4.921268,50,1.565858,19.22,32,57.9,1021.2,2716.666669,0,19.8,33.27810689,44.17257147,22.77273034,8.921159925
2014-01-07,34.7,25.52,43.34,0,4.697574,20,1.342164,23,43,62.9,1018.6,1783.333335,0,17.82,35.38192165,44.62335541,25.56289828,8.983366155
2014-01-08,34.52,26.42,41,0,7.82929,270,3.131716,20.84,36,58.1,1014,925.0000007,0,14.58,31.99458977,39.34725167,22.80376239,9.077430672
2014-01-09,21.92,18.32,27.68,0,9.171454,320,4.47388,-3.28,17,33.1,1021.4,3225.000003,0,9.36,15.83810036,22.54739093,11.64479376,9.024850707
2014-01-10,24.44,14.54,31.1,0,4.47388,230,1.789552,12.02,37,59.8,1024.9,2288.888891,0,16.56,23.15841472,30.42260053,12.36030067,8.95013151
2014-01-11,30.92,23.54,37.94,0,4.47388,250,1.342164,18.86,29,63.3,1024.6,2338.888891,0,14.4,31.33879438,38.84745931,23.44506971,9.030859186
2014-01-12,31.46,22.46,40.82,0,8.500372,270,2.908022,16.7,35,55,1021.5,1805.555557,0,18.36,28.83804295,39.4019372,18.68045234,8.973167754
2014-01-13,23.72,17.06,32,0,6.487126,20,2.684328,-2.74,16,31.9,1025.3,3238.888891,0,14.94,20.48909902,29.78064985,13.01546032,9.062601192
2014-01-14,25.34,14.9,36.68,0,5.816044,270,1.565858,5.9,23,45.5,1026,2986.111114,0,21.78,24.71817044,36.97444309,13.43461785,8.961102206
2014-01-15,27.86,18.32,37.94,0,7.605596,320,1.789552,12.56,29,54.4,1025.5,2952.77778,0,19.62,26.8886723,37.88311569,16.48321695,8.989307226
2014-01-16,30.38,21.02,39.56,0,3.802798,250,1.342164,20.12,49,66,1022.5,1777.777779,0,18.54,30.76120477,40.58022814,20.74965153,8.967568514
2014-01-17,32.72,23.9,42.08,0,4.47388,320,1.342164,20.84,36,63.8,1019.6,2200.000002,0,18.18,33.26409308,43.27564632,23.83012945,9.013940094
2014-01-18,31.64,26.06,37.58,0,10.289924,270,3.579104,13.1,33,46.4,1020.5,2747.222224,0,11.52,28.15064195,34.95640821,21.75734637,9.113067426
2014-01-19,29.12,18.68,37.76,0,4.47388,140,1.789552,8.96,25,43.8,1021.8,3022.222225,0,19.08,28.26297772,37.68678635,16.87587564,8.936190844
2014-01-20,32.72,27.86,42.62,0.09055123,9.171454,250,3.131716,26.42,41,77.9,1012.7,1622.222224,0.9055123,14.76,29.95218368,41.18541714,24.43768726,9.181214116
2014-01-21,25.34,22.82,28.76,0.04330711,6.71082,270,3.579104,16.52,59,69.1,1018.4,1677.777779,1.2598432,5.94,20.93240501,24.85087649,18.04511023,9.117132323
2014-01-22,28.22,21.38,35.96,0,8.500372,320,2.460634,14.36,36,57,1021.9,3213.888891,0,14.58,25.92236866,34.55437316,18.29408562,9.019487912
2014-01-23,30.02,19.94,41.54,0,3.802798,20,1.11847,18.14,37,62.9,1019.7,3208.333336,0,21.6,31.06675865,43.24025581,20.41494863,8.858602571
2014-01-24,38.66,26.6,49.1,0,4.250186,70,1.342164,28.04,48,66.3,1014.5,1505.555557,0,22.5,39.61757879,50.78431125,26.7180775,8.953200592
2014-01-25,41.9,34.88,50,0.05905515,7.381902,290,2.460634,35.42,62,78,1009.9,577.7777782,0,15.12,41.17893475,50.21242783,33.34990742,9.177767124
2014-01-26,30.74,25.88,39.2,0,6.263432,340,2.908022,13.28,30,48.6,1020.5,3622.222225,0,13.32,28.02543571,37.57357089,22.54033677,9.070957485
2014-01-27,32.18,18.86,47.12,0,8.500372,250,2.013246,11.84,15,49,1017.6,3525.000003,0,28.26,31.14135121,47.57004743,16.49407987,9.189516735
2014-01-28,35.96,27.68,44.24,0,7.158208,320,2.908022,19.58,22,53.5,1017.5,2666.666669,0,16.56,33.91683826,43.26182163,24.5718549,9.022803777
2014-01-29,35.78,20.48,48.74,0,3.579104,160,1.11847,17.24,23,49.8,1015.1,3288.888892,0,28.26,37.15350723,50.84869153,20.98558131,9.064549184
2014-01-30,40.1,33.8,43.52,0.0393701,4.697574,290,2.013246,33.44,37,79.3,1009.3,275.0000002,0,9.72,39.85053957,43.61132545,32.9227761,9.195041708
2014-01-31,35.96,26.06,47.66,0,6.71082,20,2.013246,20.12,26,54.3,1016.7,3308.333336,0,21.6,35.29800929,48.16385573,24.41152384,8.939372146
2014-02-01,41.9,35.06,51.98,0.17716545,7.158208,360,2.460634,29.48,41,63.6,1008.5,1372.222223,0,16.92,41.17893475,52.42061503,33.55065171,9.065603655
2014-02-02,45.68,41.18,50.9,0.01968505,6.487126,320,2.460634,43.88,90,93.8,1003.3,583.3333338,0,9.72,45.39456486,51.21614929,40.37595759,9.100788424
2014-02-03,30.74,20.66,41.18,0,9.171454,270,4.697574,14,32,52.3,1009.9,2313.888891,0,20.52,25.88652008,38.09156157,14.10234209,8.982978972
2014-02-04,21.74,16.7,27.32,0,9.618842,320,4.697574,-3.1,22,33.1,1018.1,4072.222225,0,10.62,15.36493259,21.88831684,9.472843598,9.027528252
2014-02-05,24.44,18.5,31.82,0,6.263432,50,2.908022,-1.12,22,32.6,1021.6,3158.333336,0,13.32,20.91512227,29.24434658,14.21111247,9.041791246
2014-02-06,30.74,23.54,39.56,0,6.71082,20,2.908022,5.18,17,35.1,1018.5,2677.77778,0,16.02,28.02543571,37.97987451,19.89936321,9.005331067
2014-02-07,37.4,28.4,47.66,0,12.079476,110,5.368656,21.74,37,52.9,1013,1913.88889,0,19.26,33.12589352,45.24182377,22.49788453,9.062743346
2014-02-08,37.94,32.9,43.88,0.03149608,10.737312,140,4.47388,28.22,45,68.9,1009.8,1388.88889,0.1968505,10.98,34.49831475,41.41727064,28.6276855,9.157859273
2014-02-09,31.64,29.66,35.06,0,6.71082,340,3.579104,24.44,62,74.6,1014.2,1302.777779,0.1968505,5.4,28.15064195,32.06911344,25.8820532,9.098509278
2014-02-10,33.08,28.4,38.3,0.0393701,7.605596,50,4.026492,24.26,49,71.1,1018.2,2255.555557,0.9842525,9.9,29.29641406,35.32929988,23.88761988,9.156844012
2014-02-11,34.88,27.14,42.62,0,9.395148,110,5.368656,15.8,33,46.1,1019.1,4333.333337,0,15.48,30.150051,39.29013873,21.00996327,9.16216773
2014-02-12,37.22,31.82,44.78,0,6.263432,110,2.908022,19.4,32,49,1021,3002.77778,0,12.96,35.33890095,43.87127707,29.24434658,9.081519591
2014-02-13,37.76,30.92,44.6,0,8.052984,140,3.579104,21.92,38,53.6,1022.9,2805.555558,0,13.68,35.16264356,42.99958653,27.32570059,9.093736545
2014-02-14,37.04,32,43.34,0,8.276678,90,3.802798,21.2,37,53.6,1021.1,2455.555558,0,11.34,34.09965121,41.35008088,28.29930749,9.089602219
2014-02-15,37.04,28.04,48.74,0,6.934514,20,2.23694,21.92,33,56.3,1020.2,4213.888892,0,20.7,36.10694259,49.06789529,26.13697898,8.89230802
2014-02-16,36.86,27.5,46.22,0,3.579104,320,1.342164,22.46,37,57.6,1021.3,2069.444446,0,18.72,37.69228009,47.70383333,27.68072685,8.926961487
2014-02-17,40.64,32.9,48.38,0,7.381902,160,2.684328,24.26,34,52.6,1019.7,1791.666668,0,15.48,39.47618115,48.16176127,30.79060103,9.06400049
2014-02-18,38.66,33.26,43.88,0,8.500372,110,5.144962,19.76,33,47.5,1019.3,2941.666669,0,10.62,34.78451579,40.9289446,28.42821013,9.134826563
2014-02-19,36.86,27.86,45.86,0,6.263432,180,2.684328,17.6,30,46.9,1019.2,3780.555559,0,18,35.2343862,45.33389797,25.13487444,9.022291277
2014-02-20,34.88,28.76,42.44,0,7.381902,340,2.684328,21.92,40,59.8,1020.6,3141.666669,0,13.68,33.01249361,41.4960835,26.14482561,9.028238789
2014-02-21,34.52,25.88,46.58,0,6.039738,290,2.460634,16.88,22,51.4,1023.3,4588.888893,0,20.7,32.94841884,46.39828631,23.31269289,9.003102395
2014-02-22,35.96,25.88,47.66,0,5.816044,290,1.789552,20.12,28,54.6,1024.2,3902.777781,0,21.78,35.72349288,48.48490039,24.72904949,8.964752216
