datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,39.2,29.84,44.96,0,12.526864,230,5.816044,-5.7,33,49.6,1003.9,2030.555557,1.2992133,15.12,34.93118208,41.77463792,23.81056635,9.070102309
2014-01-02,32.54,22.28,46.04,0,6.487126,230,2.23694,-9.5,20,53.8,1011.3,2538.888891,0.7480319,23.76,31.12196078,46.07690621,19.75620226,8.918302096
2014-01-03,29.84,23,41.36,0,3.802798,360,1.342164,-5.4,37,74.5,1008.2,1652.777779,0.393701,18.36,30.18361516,42.50552684,22.8674801,8.999708096
2014-01-04,32.54,22.82,43.34,0,4.921268,70,1.789552,-3.4,49,78.1,1009.8,2155.555557,0,20.52,31.9932353,43.77299608,21.3914506,8.947691001
2014-01-05,31.1,24.62,39.92,0,7.158208,340,1.789552,-4.4,40,77.4,1014,1766.666668,0,15.3,30.42260053,40.0427385,23.35474407,9.100384813
2014-01-06,28.04,18.86,40.82,0,3.131716,360,1.342164,-5.9,38,77.4,1019,2375.000002,0,21.96,28.25831646,41.92793723,18.43929309,8.936093693
2014-01-07,31.28,26.06,37.58,0,4.026492,340,1.342164,-3.4,57,80.8,1016.2,1102.777779,0,11.52,31.72385412,38.46239957,26.14048789,9.066337108
2014-01-08,33.62,25.88,40.82,0,7.381902,200,2.684328,-5.4,37,65.8,1010.8,1288.88889,0,14.94,31.59856197,39.67817138,22.91298185,9.122713767
2014-01-09,19.94,12.2,27.68,0,12.30317,340,4.250186,-18.8,21,39.9,1017.8,2775.000002,0,15.48,13.81458696,22.79582563,4.833348297,9.007186673
2014-01-10,18.86,8.06,31.1,0,11.1847,230,2.684328,-13.2,33,64.5,1021.8,2411.111113,0,23.04,15.03536267,28.77069867,2.915948548,8.952238133
2014-01-11,27.14,16.88,37.76,0,9.842536,250,2.684328,-11.2,19,59.4,1021.3,2444.444446,0,20.88,24.32691349,36.24433738,12.81347008,8.959661749
2014-01-12,26.96,18.14,38.12,0,12.526864,270,3.131716,-11.8,20,54.9,1017.8,1925.000002,0,19.98,23.41648422,36.07940193,13.40869441,9.04072197
2014-01-13,18.86,8.06,32.18,0,6.71082,340,2.013246,-16.3,20,52.5,1022.4,2813.888891,0,24.12,16.49407987,31.14135121,4.617913923,8.923376561
2014-01-14,20.12,8.24,36.5,0,4.47388,340,1.565858,-13.7,23,60.8,1023.4,2713.888891,0,28.26,19.07639415,36.77989908,6.236489471,9.079708938
2014-01-15,21.92,9.86,37.04,0,6.487126,250,1.789552,-12,28,64.6,1022.9,2688.888891,0,27.18,20.40980387,36.90146896,7.25573767,9.075766686
2014-01-16,24.26,16.34,31.1,0,5.144962,250,1.342164,-6.3,65,86.1,1020.2,1308.333334,0,14.76,24.21518919,31.53132425,15.7438749,9.038165627
2014-01-17,24.8,21.38,30.2,0,4.026492,360,1.565858,-4.9,76,93.1,1017.5,983.3333341,0,8.82,24.13453841,29.97085872,20.43820222,9.053026842
2014-01-18,24.44,17.96,35.42,0,11.408394,340,2.684328,-9.3,29,72.3,1017.2,2269.444446,0,17.46,21.29705996,33.61846432,14.02541149,9.047304392
2014-01-19,23.72,10.4,34.7,0,4.026492,250,1.789552,-12.3,29,59.1,1019.2,2452.77778,0,24.3,22.37309734,34.34918746,7.844725709,8.960846893
2014-01-20,28.94,25.88,32.54,0.17322844,9.171454,230,2.23694,-3.6,55,87.1,1009.7,1047.222223,2.5984266,6.66,27.13397534,31.12196078,23.74418771,9.165614656
2014-01-21,23.9,17.96,30.2,0,6.934514,230,2.908022,-8.6,56,73.5,1015.2,1950.000002,2.0078751,12.24,20.30566684,27.41598027,13.60165703,9.080507906
2014-01-22,21.74,11.12,35.06,0,6.487126,230,2.460634,-10.1,31,75,1019.1,2730.555558,1.6929143,23.94,18.6955742,33.55065171,6.851661052,8.959886681
2014-01-23,23.54,11.12,39.56,0,5.816044,180,1.342164,-7.9,46,81.1,1017.6,2527.77778,1.1417329,28.44,23.44506971,40.58022814,10.16050867,9.081427465
2014-01-24,31.46,21.2,37.94,0,3.579104,340,0.894776,-2.7,65,84.1,1012.4,888.8888896,0.5905515,16.74,33.38474429,40.13342066,22.69934005,8.998397206
2014-01-25,35.78,33.98,38.12,0.17716545,2.908022,290,1.11847,1.4,85,95.6,1007.3,388.8888892,0,4.14,37.15350723,39.62624884,35.25139829,9.087094461
2014-01-26,30.74,23.18,40.28,0,6.487126,230,2.013246,-6.2,35,71.1,1017.3,3052.77778,0,17.1,29.55786241,40.04847567,21.24454625,9.013358448
2014-01-27,28.4,16.88,42.08,0,8.052984,200,2.908022,-9.5,18,64,1014.7,2922.222225,0,25.2,25.38446214,40.82399988,12.38274615,9.121032377
2014-01-28,35.78,24.26,44.42,0,9.171454,230,4.250186,-7.1,17,58,1013.9,3166.666669,0,20.16,32.19479632,42.22036506,18.82737133,9.020642387
