datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,43.7,37.04,50.72,0,15.434886,270,6.934514,14.54,14,32.4,1007.4,3183.333336,0,13.68,39.63195156,48.08594106,31.61149998,9.028972164
2014-01-02,41.9,35.06,51.26,0,9.618842,270,4.250186,11.84,14,32,1013.5,3169.444447,0,16.2,39.29624085,50.15727365,31.35933226,8.957414383
2014-01-03,38.84,28.94,51.44,0,4.47388,270,1.789552,13.28,17,35.9,1010.1,2186.111113,0,22.5,38.86476243,52.60781667,28.06664838,8.852515491
2014-01-04,39.74,30.56,50,0,8.724066,140,3.131716,22.1,28,50.9,1011,3036.111114,0,19.44,37.91756741,49.55928208,27.50129639,9.057534027
2014-01-05,39.74,34.7,47.84,0,9.171454,290,4.250186,17.06,18,41.6,1015.2,3008.333336,0,13.14,36.78984866,46.18881935,30.94160023,9.054736156
2014-01-06,37.04,29.3,48.2,0,6.039738,290,2.684328,12.02,15,37,1020.6,3130.555558,0,18.9,35.43637644,47.95977103,26.75079632,8.963009999
2014-01-07,38.12,26.6,47.66,0,6.487126,270,2.908022,16.7,27,43,1018.1,2513.888891,0,21.06,36.35466001,47.12170607,23.35294402,8.920312718
2014-01-08,39.74,33.62,43.52,0.00787402,10.289924,290,4.697574,23.9,26,54,1011.9,711.1111117,0,9.9,36.40810757,40.82717432,29.25342808,9.113454469
2014-01-09,27.14,22.28,33.62,0,13.197946,290,8.500372,-9.58,9,20.6,1019.1,3786.111114,0,11.34,18.59920855,26.52793496,12.65266373,9.032642868
2014-01-10,29.3,20.84,38.66,0,11.408394,290,5.144962,6.44,21,38.1,1024,3316.666669,0,17.82,23.76691931,34.78451579,13.80870711,8.998464828
2014-01-11,34.34,26.78,42.44,0,8.724066,290,4.250186,15.98,30,47.9,1023.9,2933.333336,0,15.66,30.5238682,39.92283889,21.75149555,9.13205225
2014-01-12,34.88,28.04,44.24,0,10.961006,290,4.47388,15.26,28,45.9,1020.1,2247.222224,0,16.2,30.93400414,41.8366013,22.96672159,9.065768934
2014-01-13,29.3,22.64,37.76,0,9.395148,270,5.368656,-7.96,10,20.9,1023.4,3772.222225,0,15.12,23.56068543,33.55101388,15.69595877,9.032615839
2014-01-14,31.64,23.9,41.18,0,9.171454,320,5.144962,-4.36,12,21.1,1024.4,3683.333336,0,17.28,26.52131843,37.75079177,17.41061365,8.965734876
2014-01-15,33.26,26.24,42.44,0,9.618842,290,6.039738,3.56,15,29,1024.2,3661.111114,0,16.2,27.70102627,38.63928736,19.33647367,9.009412556
2014-01-16,35.96,27.14,44.78,0,8.052984,270,4.697574,16.16,29,45.1,1021.5,3266.666669,0,17.64,31.98904082,42.30019656,21.67788509,8.95333463
2014-01-17,36.68,29.12,45.86,0,6.934514,290,2.908022,17.06,23,47.3,1018.8,2802.77778,0,16.74,34.72944551,45.09018794,26.19706939,9.036048518
2014-01-18,34.7,29.12,41.54,0,13.869028,290,6.934514,10.04,18,36.8,1018.8,2613.888891,0,12.42,28.79350348,37.03072402,22.07366567,9.021289444
2014-01-19,32.72,22.28,43.34,0,5.59235,250,2.460634,1.22,11,28.6,1021.4,3747.222225,0,21.06,30.94097593,42.78488908,19.29780707,8.874356653
2014-01-20,37.04,32.54,45.68,0,11.408394,290,4.47388,16.88,22,45.1,1012.4,2216.666668,0,13.14,33.4499881,43.51392394,28.20835484,9.051767077
2014-01-21,30.02,25.88,35.06,0,10.961006,290,7.158208,12.38,29,47.8,1016.4,2630.555558,0,9.18,22.99841445,29.08290355,18.00044126,9.178990606
2014-01-22,31.28,23.54,41.36,0,10.513618,270,5.816044,8.42,15,41,1020.6,3763.888892,0,17.82,25.52143031,37.49747802,16.32553653,8.983540907
2014-01-23,34.7,23.18,48.38,0,6.934514,270,2.908022,11.3,16,39.9,1019,3697.222225,0,25.2,32.49477558,47.93431332,19.49305959,9.043635557
2014-01-24,39.38,25.88,53.78,0,7.605596,320,2.23694,20.84,32,48.3,1014.6,3341.666669,0,27.9,38.69913313,54.65107492,23.74418771,9.18277522
2014-01-25,43.34,37.22,50.36,0.05905515,10.513618,290,3.131716,33.98,52,70.5,1009.2,652.7777783,0,13.14,42.00237957,49.9677633,35.05819889,9.164987085
2014-01-26,37.94,31.28,46.76,0,8.94776,290,5.144962,16.7,20,44.5,1018.6,3686.111114,0,15.48,33.93700837,44.31897428,26.09756472,9.080330518
2014-01-27,38.12,25.34,52.52,0,10.513618,270,2.684328,19.4,18,51.6,1017,3713.888892,0,27.18,36.64831785,52.80753668,22.30701114,9.19576147
2014-01-28,42.44,34.7,54.5,0,11.408394,320,3.802798,16.16,17,37.8,1015.8,3119.444447,0,19.8,40.31430521,54.19369913,31.40663448,8.964487237
2014-01-29,41.72,25.7,55.4,0,4.697574,250,2.013246,11.3,16,30.3,1015,3486.111114,0,29.7,41.63196446,56.67510799,24.01565164,9.070247476
2014-01-30,49.46,42.26,59.54,0,14.092722,290,4.47388,34.16,36,55.8,1007.6,2097.222224,0,17.28,47.91689588,59.65815436,39.53028267,9.067152805
2014-01-31,43.88,32.9,56.84,0,7.381902,290,2.684328,3.38,4,20.6,1016.4,3558.333336,0,23.94,43.11200538,57.65530233,30.79060103,8.931326121
2014-02-01,49.82,36.86,66.74,0,13.197946,140,4.026492,28.4,27,45.4,1009.4,2936.111113,0,29.88,48.6432548,68.19812608,33.66505552,9.074600697
2014-02-02,54.5,45.5,68.72,0,9.618842,110,5.368656,41.18,33,63.4,1001.4,3183.333336,0,23.22,53.3191106,70.11136481,42.69110161,9.030031507
2014-02-03,41.72,26.42,51.98,0,14.54011,290,8.276678,13.28,13,35.5,1006.1,2597.222224,0,25.56,36.5462686,49.07378385,17.86488621,9.07897122
2014-02-04,25.52,19.4,34.16,0,14.092722,290,8.94776,-9.4,12,22,1015.6,4269.444448,0,14.76,16.32873728,26.94323958,8.810131489,9.068514351
2014-02-05,27.68,21.02,36.68,0,7.605596,320,3.35541,-6.7,12,22.4,1020.8,2897.222225,0,15.66,23.91476892,34.17806508,16.31992976,9.037783439
2014-02-06,32.36,25.7,38.12,0,7.82929,110,2.908022,15.98,26,51.5,1018.5,1733.333335,0,12.42,29.85380202,36.35466001,22.33718496,9.157388277
2014-02-07,37.04,30.56,42.8,0.00393701,11.855782,90,4.026492,28.4,54,70.9,1013.2,1108.333334,0,12.24,33.87308607,40.53006352,26.38398642,9.171857566
2014-02-08,39.2,36.32,44.78,0,9.395148,90,4.921268,30.56,45,71.9,1009.8,1455.555557,0,8.46,35.59507355,42.14128471,32.21638392,9.167931198
2014-02-09,37.04,34.7,42.8,0.01968505,8.724066,290,4.47388,27.86,49,70,1012.2,2269.444446,0,8.1,33.4499881,40.15927866,30.72433881,9.115163696
2014-02-10,35.6,31.82,40.1,0,10.289924,90,4.697574,20.48,42,54.3,1017.8,1616.666668,0,8.28,31.56817733,36.82897107,27.14911058,9.129628292
2014-02-11,33.44,26.6,40.64,0,10.737312,140,4.697574,20.3,41,58.4,1019.9,3386.111114,0,14.04,29.04299633,37.46026632,21.04658984,9.091589655
2014-02-12,35.24,26.96,44.06,0,11.408394,90,4.026492,23.72,43,64,1021.5,3594.444447,0,17.1,31.79278061,41.98627734,22.22337551,9.066126543
2014-02-13,35.96,30.2,40.1,0,10.289924,140,3.802798,28.22,52,73.4,1023,1336.111112,0,9.9,32.85672042,37.62128848,26.22775615,9.153850236
2014-02-14,37.58,35.78,40.1,0,12.750558,90,5.816044,24.8,47,60,1020.8,1433.333334,0,4.32,33.00646013,36.00047206,30.86788018,9.116455248
2014-02-15,39.56,30.56,50.36,0,8.276678,270,3.35541,18.86,19,45.8,1019.4,4730.555559,0,19.8,37.46231985,49.77827524,27.19902369,9.024852884
2014-02-16,40.64,28.4,54.86,0,6.039738,110,2.684328,19.4,15,47.5,1020.8,3627.777781,0,26.46,39.47618115,55.43340974,25.74084514,9.059008803
2014-02-17,41.9,37.76,49.28,0.01574804,14.092722,90,5.816044,28.4,35,60.5,1019.9,2088.888891,0,11.52,38.139052,46.90722979,33.22031812,9.146534025
2014-02-18,37.94,33.62,44.06,0,12.30317,90,7.158208,21.92,35,53.1,1020,2358.333335,0,10.44,32.55975446,39.94806266,27.34447809,9.153296028
2014-02-19,36.5,32.36,43.16,0,9.618842,110,4.47388,22.46,44,56.9,1019.5,2380.555557,0,10.8,32.82099211,40.57860932,27.99868951,9.132241715
2014-02-20,39.2,28.4,51.08,0,7.158208,270,3.35541,21.02,20,52.8,1019.4,4563.888893,0,22.68,37.051788,50.59933893,24.73583261,8.907426388
2014-02-21,39.2,30.74,50,0,6.71082,290,4.026492,15.08,16,39.6,1022,4708.333337,0,19.26,36.36945261,48.85128535,26.59201697,8.945005701
2014-02-22,40.64,28.76,52.52,0,6.934514,110,2.908022,18.68,17,46.4,1023.2,4552.777781,0,23.76,39.19878539,52.606805,25.79076577,8.952163252
2014-02-23,42.26,30.92,54.5,0,6.039738,160,2.460634,24.8,16,55.4,1023,4213.888892,0,23.58,41.58042334,55.2310351,28.93353302,8.863806993
2014-02-24,44.96,33.08,57.2,0,6.934514,290,2.908022,22.82,22,45.6,1021.4,4116.66667,0,24.12,44.07442888,57.88875212,30.66640927,8.930621031
2014-02-25,48.38,35.96,60.08,0,6.934514,270,2.908022,24.26,21,41.1,1020.9,4141.66667,0,24.12,47.93431332,61.13918112,33.91683826,8.883738553
2014-02-26,45.14,39.56,50.72,0.2362206,6.263432,90,2.684328,37.04,52,74.1,1017.9,838.8888896,0,11.16,44.52593703,50.78763433,38.26423973,9.197847237
2014-02-27,53.06,46.22,64.76,0,8.724066,290,3.802798,40.64,35,65.9,1012.2,4205.555559,0,18.54,52.53645807,66.00154172,44.66456301,9.137054219
2014-02-28,48.92,44.96,52.7,0,12.974252,90,7.158208,35.42,50,59.6,1014.9,2305.555557,0,7.74,45.81524857,50.3786154,41.03457857,9.195485059
2014-03-01,48.74,45.86,52.88,0.0393701,6.934514,140,3.131716,39.2,60,70.1,1011.4,1483.333335,0,7.02,48.12959782,52.82713181,44.86174809,9.152646033
2014-03-02,46.4,39.92,54.68,0,12.750558,140,5.816044,25.34,20,46.9,1012.7,4016.66667,0,14.76,43.48550188,53.32296964,35.78661406,9.126331329
2014-03-03,43.16,32.18,55.04,0,9.618842,90,3.579104,24.08,21,51.1,1020,5558.333338,0,22.86,41.3497038,54.96123632,28.76934798,8.999760251
2014-03-04,44.42,32.72,52.52,0,7.82929,270,2.908022,24.98,26,49.4,1015.7,2961.111113,0,19.8,43.46497344,52.606805,30.26010564,9.033096511
2014-03-05,41.9,34.88,50.18,0,12.526864,290,7.605596,12.2,11,32.3,1013.8,5719.444449,0,15.3,37.10220031,47.14541958,28.58729701,9.04948657
2014-03-06,38.3,30.38,46.76,0,12.30317,290,6.934514,4.28,12,25.6,1019.3,5197.222226,0,16.38,33.12888271,43.3170239,23.5910484,8.95865805
2014-03-07,37.58,30.02,45.68,0,13.197946,320,7.82929,-0.4,9,22,1021.4,6025.000005,0,15.66,31.73565634,41.58281584,22.54497415,9.062963355
2014-03-08,40.82,32.54,49.82,0,10.289924,290,5.144962,9.32,14,28.5,1017.5,4413.888892,0,17.28,37.32703806,47.92088083,27.58070271,8.967833493
2014-03-09,39.92,33.98,47.84,0,12.974252,290,6.487126,13.46,13,35.5,1012.9,3130.555558,0,13.86,35.35014422,44.83898954,28.23351023,9.016626815
2014-03-10,40.64,30.38,52.34,0,10.961006,290,5.144962,5.72,12,24.8,1018.7,6122.222227,0,21.96,37.1151612,50.8871568,25.03818044,8.954783696
2014-03-11,46.58,31.46,62.42,0,8.94776,290,3.131716,11.48,10,27.9,1018.6,5461.111115,0,30.96,45.67871052,63.65188405,28.52249943,9.13238112
2014-03-12,44.6,39.74,47.66,1.39763855,6.71082,270,2.013246,35.78,29,73.6,1010.5,652.7777783,0,7.92,44.79894204,48.16385573,39.45466737,9.098559816
2014-03-13,40.1,36.14,45.14,0.76771695,9.395148,90,4.026492,36.32,75,86.9,1006.1,1238.88889,0,9,37.40960534,43.23446062,32.83293334,9.160860222
2014-03-14,41,33.62,48.38,0,11.408394,270,4.47388,25.16,28,57,1012.1,5375.000004,0,14.76,38.06262536,46.6589039,29.46634682,9.078276104
2014-03-15,47.48,32.18,61.52,0,9.618842,270,4.026492,23.72,19,43.5,1013.1,5761.111116,0,29.34,45.93885771,62.16524026,28.25626133,9.104441718
2014-03-16,55.04,43.88,69.62,0,9.618842,140,3.802798,34.16,25,47.8,1014.1,4741.66667,0,25.74,54.81516453,71.59473032,41.97154627,9.157075803
2014-03-17,57.2,41.72,71.6,0,11.408394,180,3.802798,40.46,21,57.6,1012,5722.222227,0,29.88,57.30102613,73.87343678,39.48568468,9.218897485
2014-03-18,60.8,49.1,73.58,0,17.000744,110,8.500372,42.44,14,56,1007.5,5002.777782,0,24.48,59.78453744,75.42174787,45.46878141,9.506162282
2014-03-19,50.72,47.66,57.2,0,11.855782,110,8.052984,31.64,36,48.5,1011,3075.000002,0,9.54,47.62160843,55.5167303,43.89335644,9.161581707
2014-03-20,45.32,38.48,55.22,0.1574804,15.65858,270,5.816044,34.88,32,69.3,1005.6,2736.111113,0,16.74,42.20235391,53.96454363,34.0757501,9.478500607
2014-03-21,42.8,36.32,51.08,0,11.1847,320,5.144962,26.6,28,55.3,1013,5086.111115,0,14.76,39.65768347,49.40401881,32.03011667,9.085665757
2014-03-22,49.64,32.9,64.4,0,8.276678,270,3.35541,21.92,15,38.6,1016.5,6338.888894,0,31.5,48.95721155,65.78901725,29.86748069,9.110761401
2014-03-23,56.12,40.82,69.62,0,9.395148,270,3.35541,22.46,13,31.9,1019.7,6080.55556,0,28.8,56.34678478,71.74172902,38.89918131,9.079190371
2014-03-24,56.84,42.08,69.08,0,9.395148,290,4.026492,24.26,12,30.9,1015.2,5719.444449,0,27,56.75644608,70.90252318,39.69794134,9.083416106
2014-03-25,59.54,54.68,67.28,0.4330711,8.052984,270,2.908022,47.3,39,66.9,1008.7,2513.888891,0,12.6,60.52972568,69.26525361,55.04462675,9.199892023
2014-03-26,58.46,53.78,65.12,0.57086645,7.605596,270,2.908022,55.58,75,90.4,1003.1,1672.222224,0,11.34,59.31081481,66.82743187,54.02886769,9.123924333
2014-03-27,61.52,51.08,75.74,0,7.381902,110,3.131716,42.98,12,61.5,1009.3,5530.55556,0,24.66,62.63068101,78.76568906,50.78472573,9.107709823
2014-03-28,64.04,49.28,79.52,0,9.618842,290,2.908022,39.92,18,48.1,1010.5,5530.55556,0,30.24,65.60852099,83.07957685,48.95007238,9.137769376
2014-03-29,59.9,56.3,63.32,0.5511814,8.052984,140,3.802798,54.14,34,82.1,1002.5,883.333334,0,7.02,60.40835313,64.34430066,56.26525046,9.165812833
2014-03-30,57.92,51.26,68.18,0.4330711,11.632088,290,4.697574,46.58,31,70.5,1001.7,3463.888892,0,16.92,57.6617143,69.65632404,49.87573956,9.220587291
2014-03-31,57.56,45.86,70.7,0,5.816044,110,2.684328,41.18,26,58.6,1009.4,4647.222226,0,24.84,58.46326327,73.20855045,45.33389797,9.095957123
2014-04-01,61.52,48.02,75.92,0,6.487126,90,2.460634,34.52,11,46.3,1009.2,6388.888894,0,27.9,63.06006244,79.11960569,48.00424064,8.992491144
