datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,41.18,32.72,49.46,0,11.1847,290,4.921268,27.68,28,61.1,1007.4,2719.444447,0,16.74,37.91792267,47.63165535,27.99302188,9.041985838
2014-01-02,36.68,28.04,48.38,0,6.71082,320,2.23694,21.02,25,56.5,1013.1,3058.333336,0,20.34,35.70814405,48.66909675,26.13697898,8.980476431
2014-01-03,35.78,25.88,49.28,0,4.026492,320,0.894776,22.1,29,59.5,1009.3,2338.888891,0,23.4,37.88386187,51.9436043,27.57338409,8.876846275
2014-01-04,33.8,27.14,43.7,0,5.59235,340,2.23694,20.84,34,61.4,1011,3216.666669,0,16.56,32.51775569,43.48471567,25.13998262,8.992407194
2014-01-05,30.56,21.38,41.9,0,5.59235,320,2.013246,20.66,40,68.9,1015.5,3047.222225,0,20.52,29.35992631,41.82990056,19.26518526,8.979278348
2014-01-06,31.64,21.56,45.14,0,4.697574,140,1.789552,21.02,37,66.9,1019.8,3011.111114,0,23.58,31.01158857,45.73628955,20.01714518,8.898803698
2014-01-07,33.26,23,44.96,0,4.697574,290,1.565858,24.62,46,72,1017.7,2083.333335,0,21.96,33.27810689,45.92346756,22.18909831,8.977728929
2014-01-08,34.16,26.78,41.54,0.00787402,8.724066,320,3.35541,24.8,47,69.6,1012.8,1116.666668,0.0393701,14.76,31.30434216,39.72024501,22.8884393,9.113231763
2014-01-09,22.28,17.06,30.2,0,12.750558,340,5.368656,1.22,16,41.5,1020.1,3622.222225,0,13.14,15.27083841,24.62348632,9.106593197,9.009159841
2014-01-10,23.36,14.18,32.18,0,4.250186,270,1.789552,15.26,53,70.9,1023.5,1991.666668,0,18,21.98043864,31.60057661,11.96764198,8.987359301
2014-01-11,30.2,22.82,38.3,0,6.039738,340,1.789552,21.92,47,72.3,1023.2,2141.666668,0,15.48,29.4409538,38.27577439,21.3914506,9.085861329
2014-01-12,30.74,22.82,41,0,10.961006,320,3.579104,20.12,44,65.6,1020.2,1738.88889,0,18.18,27.11946524,38.8748797,18.04511023,9.044255832
2014-01-13,22.46,14.18,33.26,0,6.934514,340,2.684328,2.84,17,46.3,1024.1,3605.555558,0,19.08,19.07516738,31.1945815,9.783616549,9.032668087
2014-01-14,24.08,12.92,37.04,0,6.71082,320,2.23694,8.96,26,54.3,1024.6,3330.555558,0,24.12,21.75019499,36.10694259,9.387440104,8.937113235
2014-01-15,26.6,16.34,38.84,0,6.263432,320,2.013246,15.08,32,63.9,1024.3,3325.000003,0,22.5,25.00533213,38.46498687,13.72297448,8.950843194
2014-01-16,29.12,19.04,39.38,0,4.026492,290,1.565858,21.56,54,74.1,1021.2,1683.333335,0,20.34,28.80359466,39.89260324,17.90913009,8.940010522
2014-01-17,31.82,23.18,42.98,0,4.921268,20,1.565858,23.36,40,72.6,1018.3,2583.333335,0,19.8,31.72175481,43.78348345,22.38364232,8.989767125
2014-01-18,30.02,22.64,40.28,0,12.974252,320,3.579104,17.42,31,61.4,1019.4,2663.888891,0,17.64,26.29452388,38.04993833,17.83887489,8.990810649
2014-01-19,28.94,16.34,40.1,0,5.144962,180,2.460634,12.02,25,52.6,1020.4,3525.000003,0,23.76,26.72534583,39.17149185,12.67324548,8.858297931
2014-01-20,33.44,29.3,41.72,0.14173236,11.408394,320,4.026492,27.5,48,79.1,1011.7,1602.777779,1.2598432,12.42,29.71247515,39.28188025,24.92777261,9.146034867
2014-01-21,26.24,23,29.84,0.02755907,7.605596,320,4.026492,19.76,61,76.3,1017,2041.666668,1.2992133,6.84,21.39125333,25.55186424,17.64670351,9.154624891
2014-01-22,27.32,18.5,36.86,0,7.381902,340,2.684328,18.14,45,69.5,1020.6,3511.111114,0,18.36,24.52890373,35.2343862,14.6313822,9.006483418
2014-01-23,29.66,18.14,43.52,0,4.921268,110,1.789552,21.2,46,72.5,1018.4,3916.66667,0,25.38,28.85196576,43.96932543,16.2868876,9.032096993
2014-01-24,38.66,25.88,51.26,0,7.381902,200,2.23694,31.64,57,76.5,1013.3,1966.666668,0,25.38,37.90153604,51.8594851,23.74418771,9.124044457
2014-01-25,42.26,34.16,50.54,0.06299216,9.395148,320,2.908022,39.02,78,88.1,1008.6,466.666667,0,16.38,41.0271517,50.37213506,31.88532014,9.163545274
2014-01-26,30.56,24.62,42.26,0,7.605596,320,3.35541,14.9,29,54.3,1019.2,4033.333337,0,17.64,27.19902369,40.5413087,20.42524823,9.013768687
2014-01-27,32.54,17.42,47.48,0,6.487126,270,2.908022,16.52,20,56,1016.3,3769.444447,0,30.06,30.05695383,46.91855425,12.99220159,9.069979542
2014-01-28,37.58,26.06,47.66,0,8.276678,340,3.802798,22.1,20,58.4,1016.1,3186.111114,0,21.6,34.72111661,46.32180407,21.46318809,8.945688019
2014-01-29,35.78,19.04,50.36,0,4.026492,320,1.565858,18.14,23,52.5,1013.8,3355.555558,0,31.32,36.00172304,51.75978786,17.90913009,9.100457264
2014-01-30,40.64,32.9,46.76,0.01574804,9.618842,320,2.23694,35.06,46,82,1008.1,269.4444447,0,13.86,40.09492804,46.8745033,31.52075933,9.211514284
2014-01-31,36.32,24.98,52.34,0,5.59235,340,2.013246,22.28,22,61.3,1015.2,3700.000003,0,27.36,35.69388148,53.31019431,23.22390724,9.0791284
2014-02-01,45.5,33.98,57.02,0.24803163,7.82929,340,1.565858,34.52,42,67.6,1007,1947.222224,0,23.04,46.50709959,58.95791624,34.05628293,9.029711022
2014-02-02,47.66,42.98,52.16,0.00787402,8.724066,180,3.579104,45.68,81,93.6,1002.1,1227.777779,0,9.18,46.50558733,51.66147086,41.14346845,9.086964766
2014-02-03,31.64,21.74,42.98,0,10.513618,340,5.59235,16.16,27,55.5,1008.4,2533.333335,0,21.24,26.13340763,39.56626714,14.40630807,8.9416804
2014-02-04,20.48,12.74,29.84,0,11.1847,320,4.47388,1.58,23,45.3,1016.9,4519.444448,0,17.1,14.16077772,25.06337489,5.145168528,8.973846931
2014-02-05,23.72,15.8,33.8,0,4.921268,20,2.013246,2.84,23,40.9,1020.2,3313.888892,0,18,21.83835455,32.9227761,13.12916619,8.971324545
2014-02-06,30.92,23.54,40.64,0,5.816044,20,2.013246,10.4,29,42.5,1017,2811.111113,0,17.1,29.75579851,40.44434786,21.64041845,9.017590721
2014-02-07,36.86,27.5,45.86,0,13.42164,90,4.921268,26.06,45,64.9,1011.4,2302.77778,0,18.36,32.84988822,43.40829332,21.86914693,9.061361148
2014-02-08,37.4,33.62,41.36,0.05118113,12.079476,140,4.921268,32.18,64,82,1008.6,1133.333334,0,7.74,33.48339253,38.12909077,29.04886239,9.180636081
2014-02-09,31.64,29.48,35.06,0.00393701,8.500372,340,2.908022,25.88,65,79.5,1012.8,1686.111112,0,5.58,29.04119477,32.9010792,26.60337302,9.118755284
2014-02-10,32.36,28.04,37.76,0.02362206,8.052984,90,3.131716,26.42,61,79,1016.7,2016.666668,0.5118113,9.72,29.54370247,35.67092072,24.64192787,9.145468316
2014-02-11,33.98,25.52,43.7,0,12.750558,140,6.487126,20.66,39,58.9,1017.6,4355.555559,0,18.18,28.23351023,39.87891131,18.09769819,9.051939004
2014-02-12,36.68,29.66,48.02,0,9.618842,140,4.921268,22.46,33,57.4,1019.5,4252.777781,0,18.36,32.63872012,45.94231054,24.40316415,9.047637272
2014-02-13,37.04,29.48,46.76,0,10.289924,90,3.802798,25.52,40,63.8,1021.4,3250.000003,0,17.28,34.09965121,45.28602841,25.39913562,9.041150072
2014-02-14,36.32,30.38,43.88,0,11.1847,90,5.368656,25.52,46,65.5,1019.6,2916.666669,0,13.5,31.85053244,40.77805999,24.8360465,9.155349164
2014-02-15,36.5,26.24,48.74,0,7.158208,340,2.23694,24.44,36,63.9,1018.8,4625.000004,0,22.5,35.50874478,49.06789529,24.14298625,8.967125508
2014-02-16,37.04,26.24,51.62,0,5.144962,110,1.789552,25.7,35,65.6,1019.9,2816.666669,0,25.38,36.90146896,52.80414601,25.12170818,8.991911277
2014-02-17,40.28,33.8,48.56,0,10.289924,110,3.35541,28.94,38,64.9,1018.3,1961.111113,0,14.76,38.28338354,47.72561601,30.89381031,9.166832902
2014-02-18,38.66,32.72,44.96,0,13.42164,110,7.158208,23.72,39,55.3,1017.9,2991.666669,0,12.24,33.42896719,41.03457857,26.25796218,9.156776013
2014-02-19,36.5,28.04,47.66,0,11.1847,110,3.802798,20.66,31,54,1017.9,4250.000003,0,19.62,33.47818581,46.32180407,23.74189456,9.058907412
2014-02-20,34.52,26.6,45.86,0,9.842536,320,3.131716,23.9,42,66.1,1019.2,3833.333336,0,19.26,31.99458977,44.86174809,23.008003,9.066408698
2014-02-21,33.8,23.54,46.22,0,6.71082,320,2.460634,18.14,23,57.1,1022,4980.55556,0,22.68,32.14544167,45.99679773,20.70301711,8.837860554
2014-02-22,35.42,23.9,47.66,0,5.816044,340,2.013246,21.74,33,60.4,1022.9,4330.555559,0,23.76,34.70420099,48.16385573,22.03629065,8.868441325
2014-02-23,37.76,25.7,51.44,0,5.144962,140,1.789552,22.1,24,56.8,1022.5,4111.111114,0,25.74,37.68678635,52.60781667,24.53272014,9.001951905
2014-02-24,39.92,27.68,53.42,0,7.158208,20,2.460634,26.6,38,60.6,1021.1,4052.777781,0,25.74,38.97074756,54.02656936,25.32013579,8.963835121
2014-02-25,42.8,29.3,56.48,0,5.368656,90,2.013246,29.66,38,62.1,1020.2,4044.444448,0,27.18,42.81958105,57.86272459,27.97437362,8.986830645
2014-02-26,43.52,34.7,54.14,0,13.645334,110,3.35541,34.16,43,71.3,1015.9,2050.000002,0,19.44,41.97817016,54.08885963,31.92013992,9.160808766
2014-02-27,48.38,38.84,60.08,0,6.71082,180,2.908022,38.3,46,70.5,1012,3461.111114,0,21.24,47.93431332,61.13918112,37.16726726,9.034338855
2014-02-28,47.12,36.86,58.1,0,12.30317,110,3.802798,36.68,45,68.6,1013.2,3875.000003,0,21.24,45.70033867,58.33680179,33.89249608,9.178547296
2014-03-01,46.22,39.92,51.26,0,8.724066,180,2.908022,36.5,58,68.9,1010.3,1555.555557,0,11.34,45.49649157,51.18474231,38.38617814,9.151994417
2014-03-02,41.18,33.8,52.7,0,11.632088,320,3.802798,23.18,21,53.5,1013,5380.55556,0,18.9,38.86421928,52.1221478,30.37085882,9.026257114
2014-03-03,40.64,26.96,55.22,0,8.500372,180,2.23694,16.88,15,42.8,1018.4,5450.000004,0,28.26,40.09492804,56.24626909,24.94058334,9.110131948
2014-03-04,41.54,29.84,53.24,0,8.500372,320,2.684328,23.36,27,50,1014.5,3383.333336,0,23.4,40.48613232,53.61549762,27.35676702,8.974691493
2014-03-05,37.22,29.66,46.4,0,13.645334,320,6.487126,15.08,15,45,1015.2,5919.444449,0,16.74,32.11531059,43.11374494,23.05777642,8.972163111
2014-03-06,34.16,25.16,44.06,0,12.30317,320,4.250186,13.28,19,45.1,1019.2,5147.222226,0,18.9,30.31500218,41.80263303,19.87170141,8.966287143
2014-03-07,33.62,24.26,44.96,0,12.974252,320,4.921268,8.78,15,39.3,1021.8,5944.444449,0,20.7,29.04886239,42.35245281,18.06812109,8.910443774
2014-03-08,36.86,26.24,47.66,0,10.737312,180,3.35541,20.3,22,52,1016.9,4177.777781,0,21.42,34.383331,46.69928639,22.27264154,9.044011899
2014-03-09,36.14,28.4,43.88,0.13385834,13.197946,320,6.263432,24.08,25,65.3,1013.2,3783.333336,0,15.48,30.97467238,40.22287556,21.7264692,9.126292072
2014-03-10,36.5,23.9,50.18,0,7.158208,200,3.802798,19.22,24,51.8,1018.5,6138.888894,0,26.28,33.47818581,49.22197594,18.97732649,9.156220061
2014-03-11,41.54,26.24,56.84,0,12.750558,180,3.802798,17.06,14,46.8,1018,5552.777782,0,30.6,39.27852954,56.88671586,21.67034322,9.167155541
2014-03-12,39.38,32.18,43.16,1.31102433,4.026492,340,1.342164,35.06,52,85.9,1009.2,677.7777783,0,10.98,40.38769827,44.43082554,32.68650347,9.096846822
2014-03-13,39.38,35.24,43.16,0.27952771,10.737312,90,3.35541,37.94,81,94.8,1005.1,894.4444452,0,7.92,37.25705393,41.56763831,32.53593769,9.164298223
2014-03-14,38.84,32.18,48.38,0.01574804,8.724066,320,3.131716,29.66,37,72.3,1011.3,4936.111115,0,16.2,36.89636437,47.7211166,29.33946186,9.077182476
2014-03-15,45.68,32,57.02,0,10.289924,230,4.697574,32.9,42,63.3,1012,5791.666671,0,25.02,43.35235531,56.60955555,27.35954233,9.151784763
2014-03-16,53.96,45.68,65.48,0,10.737312,180,5.144962,40.64,42,62.3,1012.9,5080.55556,0,19.8,52.7940485,66.35416725,43.04771315,9.147372165
2014-03-17,55.58,39.2,71.42,0,9.171454,200,3.802798,46.22,38,73.6,1009.8,5025.000004,0,32.22,55.43662993,73.66628165,36.58551281,9.279840958
