datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,41.36,33.62,51.08,0,10.513618,290,4.250186,24.62,20,54.5,1008.5,2627.77778,0,17.46,38.6696428,49.94840763,29.68840413,9.014637721
2014-01-02,39.74,31.1,50.54,0,7.605596,70,2.460634,20.84,21,51.1,1012.5,2430.555557,0,19.44,38.77000327,50.81466071,29.13427731,9.081115714
2014-01-03,40.1,30.38,53.24,0,5.368656,20,2.013246,20.12,19,47.3,1009,2202.77778,0,22.86,39.85053957,54.2998748,29.16199021,8.879541775
2014-01-04,36.32,30.38,44.06,0,7.158208,290,3.131716,20.84,29,55.4,1010.5,3063.888891,0,13.68,34.03699585,42.81934201,27.29705578,9.068328018
2014-01-05,34.16,25.7,45.68,0,6.263432,70,2.684328,17.42,20,54.4,1014.7,2972.222225,0,19.98,32.20453267,45.13190774,22.71099161,8.991453785
2014-01-06,36.14,26.24,47.84,0,8.276678,70,2.684328,19.04,28,51.9,1018.9,2866.666669,0,21.6,34.42642526,47.55579056,23.31696232,9.032303137
2014-01-07,38.84,28.04,49.28,0,9.171454,70,2.013246,23,31,54.1,1016.1,2047.222224,0,21.24,38.46498687,49.94528062,26.58882093,9.00114669
2014-01-08,37.22,30.74,42.8,0.05905515,12.750558,50,6.487126,26.24,44,65.8,1012,794.4444451,0,12.06,32.11531059,38.80063343,24.35170988,9.107801303
2014-01-09,25.88,20.12,30.92,0,15.211192,50,9.171454,5.36,27,41.3,1019.8,3336.111114,0,10.8,16.63224463,22.83614881,9.542068423,9.141898282
2014-01-10,28.58,18.86,38.3,0,7.605596,70,2.908022,14.72,38,56.8,1023.3,2572.222224,0,19.44,25.58761396,36.55781182,14.61741609,9.006650908
2014-01-11,33.98,27.68,42.08,0,6.71082,270,2.23694,22.46,40,64,1023.1,2405.555557,0,14.4,32.71715496,41.69012222,25.73818043,9.064130369
2014-01-12,33.26,26.96,42.8,0,10.513618,20,3.131716,22.28,47,64,1020.4,1680.555557,0,15.84,30.56490551,41.38965775,23.41648422,9.112410957
2014-01-13,27.5,20.84,36.68,0,14.092722,50,7.158208,2.84,15,38,1022.8,3300.000003,0,15.84,19.9561699,31.03863219,11.91595216,9.113429358
2014-01-14,29.66,20.84,39.38,0,14.763804,50,7.381902,5.18,20,36,1023.5,3219.444447,0,18.54,22.40779418,34.17026635,11.7344398,9.099087525
2014-01-15,30.92,23.72,40.46,0,10.06623,20,5.144962,14,27,50.1,1023.5,3122.222225,0,16.74,25.67381101,36.90328435,17.19873679,9.084590135
2014-01-16,32.72,22.82,43.7,0,9.842536,70,3.802798,19.4,35,59.4,1020.5,2905.555558,0,20.88,29.12792802,41.76439114,17.73439569,8.98314135
2014-01-17,35.06,26.42,45.5,0,6.71082,20,2.013246,24.62,42,67.1,1018.1,2400.000002,0,19.08,34.30832879,45.78862254,24.80739603,9.014948992
2014-01-18,33.44,28.58,39.74,0,14.092722,20,4.47388,21.92,42,63.8,1019.3,1683.333335,0,11.16,29.25668149,36.59496805,23.59571758,9.123870832
2014-01-19,32.36,22.46,43.52,0,8.052984,50,4.026492,10.76,16,43.6,1020.3,3388.888892,0,21.06,28.46429188,41.36218571,17.02261187,8.944695235
2014-01-20,35.96,28.76,46.04,0.06299216,12.526864,270,4.026492,25.7,33,67.9,1012.6,1925.000002,0.9055123,17.28,32.62490279,44.27461334,24.30368097,9.079991111
2014-01-21,27.86,24.08,32.18,0.09055123,11.1847,20,5.144962,20.66,57,74.3,1016.9,1530.555557,2.7165369,8.1,22.07190447,27.156949,17.6224905,9.158072875
2014-01-22,29.84,22.1,38.66,0,8.94776,50,4.921268,18.5,39,62.5,1020.1,3227.77778,0.6299216,16.56,24.61433225,34.96156924,15.53410387,8.999707296
2014-01-23,32.72,21.92,46.22,0,6.487126,230,2.684328,18.5,26,59.1,1018.1,3625.000003,0,24.3,30.58861079,45.73787844,18.46919667,8.988640578
2014-01-24,44.24,32.18,56.48,0,15.211192,250,4.026492,32.72,47,64,1013.1,2000.000002,0,24.3,42.19430789,56.34038499,28.25626133,9.326841451
2014-01-25,48.38,38.48,55.04,0.17716545,11.632088,230,4.921268,41.36,58,77.1,1008.7,983.3333341,0,16.56,46.36464674,54.17786651,34.75040114,9.191584176
2014-01-26,35.24,28.22,46.76,0,15.434886,50,4.921268,16.52,14,50.4,1018.4,3750.000003,0,18.54,30.94937531,44.46413383,22.71381934,9.221928389
2014-01-27,36.86,23.9,51.08,0,14.092722,230,3.802798,19.22,14,54.1,1016.4,3705.555559,0,27.18,33.89249608,50.2577516,18.97732649,9.144399306
2014-01-28,38.66,30.92,50.72,0,8.276678,50,2.460634,24.08,27,57.6,1015.9,2608.333335,0,19.8,37.56553752,51.015405,28.93353302,8.995613638
2014-01-29,41.9,25.16,57.56,0.05905515,11.855782,200,3.131716,27.5,26,60.5,1013.4,3250.000003,0,32.4,40.36845471,58.13738763,21.37407814,9.191066368
2014-01-30,44.42,37.4,48.38,0.05905515,10.513618,270,3.35541,41.72,78,90.6,1008.4,313.8888891,0,10.98,43.00449978,47.52035009,34.99912877,9.177030877
2014-01-31,43.34,30.92,56.84,0,8.724066,70,3.579104,28.76,29,60.9,1014.2,3405.555558,0,25.92,41.55593914,57.02358974,27.32570059,9.044146398
2014-02-01,53.6,41,68.9,0.05905515,12.750558,230,3.131716,44.78,47,73.1,1006.7,1866.666668,0,27.9,53.64409424,71.00454595,39.34725167,9.325103402
2014-02-02,51.62,44.96,58.82,0,9.618842,200,4.47388,46.58,67,83.5,1001.8,1766.666668,0,13.86,50.43287984,58.81949304,42.67526262,9.208162306
2014-02-03,37.04,26.24,45.68,0,13.197946,50,7.158208,17.42,23,47.4,1007,2863.888891,0,19.44,31.47323855,41.90379129,18.43504762,9.022538796
2014-02-04,24.44,20.12,30.92,0,17.000744,50,9.842536,2.66,22,39.8,1016,4141.66667,0,10.8,14.4498441,22.47116582,9.102296296,9.226805743
2014-02-05,28.22,21.38,36.86,0,14.763804,70,5.59235,1.58,18,32.6,1018.8,2169.444446,0,15.48,22.08222778,32.3167874,13.97986808,9.131517247
2014-02-06,35.24,29.48,42.62,0,13.42164,70,5.144962,13.28,29,40.5,1015.4,1741.666668,0,13.14,30.75885554,39.44580661,23.97879617,9.086507295
2014-02-07,40.46,33.62,46.94,0.00393701,11.855782,70,7.82929,26.24,39,58,1009.2,1333.333334,0,13.32,35.23686861,43.11459621,26.92148948,9.183469628
2014-02-08,36.86,34.7,38.84,0.0787402,6.934514,70,3.579104,32.72,79,85.4,1008.4,594.4444449,0,4.14,34.13146685,36.4000556,31.65664275,9.171730788
2014-02-09,32.36,28.76,38.3,0,12.30317,50,4.921268,23,51,68.1,1012.2,2027.777779,0,9.54,27.57068568,34.53923304,23.34732364,9.121423769
2014-02-10,34.52,27.32,42.44,0,11.632088,70,5.144962,24.62,52,67.5,1014.9,2261.111113,0,15.12,29.91134812,39.23392976,21.4362739,9.151763791
2014-02-11,37.58,28.76,48.74,0,16.105968,70,6.487126,20.84,27,52.5,1015.9,3872.222225,0,19.98,32.54662174,45.91726742,21.97949855,9.291964048
2014-02-12,38.12,32.54,47.84,0,8.052984,50,3.579104,22.1,28,53.6,1018.2,3963.888892,0,15.3,35.57511424,46.71182267,29.18181866,9.104931427
2014-02-13,38.66,30.56,48.02,0,14.54011,70,6.487126,21.92,29,52.9,1019.7,2908.333336,0,17.46,33.84055519,45.05464512,24.1360543,9.162808105
2014-02-14,38.48,31.64,48.38,0,12.974252,70,8.276678,21.2,31,50.5,1017.8,3500.000003,0,16.74,32.59021115,44.67816446,24.23853432,9.108339671
2014-02-15,37.94,27.86,50.54,0,9.171454,50,3.35541,20.48,23,52.1,1017.9,4338.888892,0,22.68,35.61492654,49.98354116,24.12003484,9.01032582
2014-02-16,41.72,29.3,54.14,0,7.605596,250,2.460634,25.34,25,54.4,1019.4,3197.222225,0,24.84,40.97819046,54.82954652,27.12683441,9.057351804
2014-02-17,42.26,37.04,48.74,0.0787402,10.289924,70,4.47388,30.92,40,66.1,1016.7,861.1111118,0,11.7,39.53028267,47.07823456,33.4499881,9.198662825
2014-02-18,38.84,33.62,46.94,0,14.092722,70,7.605596,26.06,40,61.1,1016.4,2469.444446,0,13.32,33.3905758,43.21546421,27.05898104,9.184703788
2014-02-19,37.76,29.48,48.56,0,8.94776,70,4.250186,19.58,27,50.1,1017,4125.000003,0,19.08,34.49232249,47.02428342,24.88448578,9.081565279
2014-02-20,36.32,28.4,48.2,0,8.724066,320,3.579104,22.64,29,58.3,1019.2,4233.333337,0,19.8,33.51276083,47.12429335,24.43840581,8.990486824
2014-02-21,35.24,27.14,47.84,0,8.276678,50,4.026492,16.88,20,50.3,1021.4,4738.888893,0,20.7,31.79278061,46.3549188,22.43140606,8.980520421
2014-02-22,38.48,27.5,51.62,0,11.1847,70,5.368656,19.94,19,50.8,1021.7,4327.777781,0,24.12,34.4012546,49.91814772,21.43508363,9.02040582
2014-02-23,41.54,29.84,56.3,0,10.289924,70,4.026492,21.02,22,47.1,1021.5,4044.444448,0,26.46,39.0738497,56.13235444,25.55186424,9.115037259
2014-02-24,43.88,31.28,59,0,8.500372,50,2.908022,24.44,24,49.1,1020,3997.222225,0,27.72,42.85551801,59.92027025,28.63489114,9.083113721
2014-02-25,48.02,34.52,61.34,0,10.737312,230,3.802798,26.78,23,46.5,1019,3661.111114,0,26.82,46.73611434,62.06559419,31.19947935,9.186208755
2014-02-26,46.76,44.06,52.34,0.1181103,12.750558,70,4.921268,36.32,43,68.8,1014.4,1008.333334,0,8.28,44.46413383,51.01034498,41.2966123,9.241113769
2014-02-27,47.12,41.18,60.44,0,9.618842,320,3.35541,36.32,33,69.4,1012.3,3975.000003,0,19.26,46.08348862,61.27316694,39.30971316,9.158458499
2014-02-28,46.4,39.56,53.06,0,7.158208,230,2.684328,36.32,52,69,1012.7,2027.777779,0,13.5,45.93986868,53.41350738,38.26423973,9.154040477
2014-03-01,43.7,37.94,48.2,0.2755907,12.079476,70,2.908022,40.1,71,87.4,1010.2,583.3333338,0,10.26,42.6523662,47.7311615,36.1515082,9.204302077
2014-03-02,42.26,34.16,52.52,0,15.211192,50,4.921268,23.9,21,52.5,1012.6,4677.777782,0,18.36,39.18493128,51.22151309,29.6823667,9.229042972
2014-03-03,44.06,32,56.84,0,11.632088,180,3.802798,20.3,16,43.5,1017.9,4872.222226,0,24.84,42.17870141,56.88671586,28.29930749,9.072443107
2014-03-04,43.88,35.6,53.06,0,9.395148,70,3.35541,25.88,34,50.5,1014.2,2136.111113,0,17.46,42.38870201,52.85726409,32.94646954,9.088198917
