datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,41,31.46,50.54,0,15.211192,250,4.697574,26.6,21,60.1,1010.1,2352.77778,0,19.08,37.88112982,49.03401256,26.72824708,9.204250435
2014-01-02,37.4,29.48,49.46,0,6.71082,340,2.23694,21.92,17,60,1014.8,2513.888891,0,19.98,36.50574114,49.86549238,27.73217316,8.968216542
2014-01-03,39.2,29.12,54.32,0,7.158208,340,1.789552,16.16,13,42.9,1011,2166.666668,0,25.2,39.25742112,55.74908621,28.26297772,9.045354589
2014-01-04,34.7,27.32,43.88,0,7.605596,270,2.908022,18.14,23,52.8,1012.9,2713.888891,0,16.56,32.49477558,42.85551801,24.16555127,9.028697753
2014-01-05,31.28,22.46,41.9,0,8.052984,320,2.23694,17.78,24,62.1,1017.4,2813.888891,0,19.44,29.72616588,41.49072294,19.95560154,9.02075049
2014-01-06,32.72,23.36,46.22,0,6.934514,320,2.460634,17.96,28,57.3,1021.3,2594.444447,0,22.86,30.94097593,45.99679773,20.50227282,8.851898731
2014-01-07,37.4,25.88,49.1,0,6.487126,340,1.789552,19.22,23,50.4,1018.5,2019.444446,0,23.22,37.29412765,50.05553516,24.72904949,8.957692379
2014-01-08,36.14,29.3,40.28,0.01968505,12.079476,340,4.026492,23.54,37,61.8,1014.5,625.0000005,0,10.98,32.83293334,37.61763589,24.92777261,9.083322534
2014-01-09,24.44,17.96,30.2,0,13.42164,320,7.82929,-0.58,16,35.1,1022.2,3022.222225,0,12.24,15.76137538,22.76379991,7.883647782,9.053308316
2014-01-10,28.04,15.8,37.58,0,9.618842,140,2.684328,13.46,42,54.4,1025.3,1900.000002,0,21.78,25.33686467,36.04234714,11.60152867,9.035057769
2014-01-11,32.54,26.78,40.28,0,6.487126,320,2.684328,20.84,44,63.3,1025.2,1797.222224,0,13.5,30.38662055,39.07220067,23.92293302,9.048291564
