datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,heat_index,Predicted_Health_Risk_Score
2014-01-01,39.2,32.54,46.22,0,17.448132,603.9738,8.276678,-5.5,29,51.3,1003.6,1713.89026,0,13.68,128.3445404,108.1015167,152.1923163,118.2426513,9.512122154
2014-01-02,34.7,29.66,43.16,0,8.94776,514.4962,4.47388,-12.9,17,35.4,1010.4,2550.00204,0,13.5,121.2392722,102.8095097,134.5433447,105.4719137,9.449490547
2014-01-03,36.14,30.02,45.14,0,12.079476,715.8208,5.59235,-6.2,32,54.4,1006.9,1302.77882,0,15.12,141.26488,111.9672827,166.194884,132.7374565,9.423261642
2014-01-04,31.82,25.34,42.08,0,10.513618,648.7126,5.368656,-10.3,33,47.1,1008.8,2261.11292,0,16.74,149.5236613,116.6941816,175.3153123,135.3158068,9.425261497
2014-01-05,30.56,24.26,38.84,0,9.842536,648.7126,4.250186,-10.7,27,48.4,1013.1,1966.66824,0,14.58,156.1804501,127.1827054,182.6503249,142.338909,9.431448936
2014-01-06,33.44,25.34,43.52,0,8.500372,648.7126,3.579104,-8.6,31,50.4,1017.3,2194.4462,0,18.18,147.71491,114.837911,181.5020912,135.8472033,9.454200745
2014-01-07,37.4,32.54,41.9,0,6.71082,447.388,3.802798,-4.9,43,56,1014.6,933.33408,0,9.36,137.6247841,122.1295818,156.8947822,130.5094829,9.422492027
2014-01-08,32.9,21.74,39.2,0,13.42164,603.9738,7.381902,-7.8,31,56.6,1010.9,1552.77902,0,17.46,155.8710295,131.4370078,210.1309915,148.9265225,9.443509102
2014-01-09,17.96,13.28,24.26,0,15.211192,648.7126,8.052984,-24.3,13,26.3,1017.9,2794.44668,0,10.98,135.4802815,121.276322,147.2702872,117.8426827,9.112596512
2014-01-10,23.54,15.26,30.38,0,9.395148,603.9738,4.47388,-14.2,30,48.6,1020.6,1919.44598,0,15.12,186.3292316,157.1772949,227.6500747,170.6565482,9.463707924
2014-01-11,28.94,22.28,36.32,0,9.171454,514.4962,4.250186,-14.7,14,44.1,1020.4,2102.77946,0,14.04,155.2005875,130.3546533,181.6881333,138.7101552,9.468011856
