datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,51.26,49.1,54.68,0,19.685072,320,10.737312,-0.8,28,45.4,1015.5,2883.33564,0,5.58,47.36953638,51.6325634,44.67709827,9.600939816
2014-01-02,49.28,43.34,54.68,0,11.632088,20,5.59235,-0.8,31,49.5,1018.1,2805.5578,0,11.34,47.02896686,53.42556662,39.99270712,9.155482404
2014-01-03,51.26,42.8,59.72,0,10.737312,360,4.47388,2.5,38,57.8,1014.3,2083.335,0,16.92,50.01354918,59.8678197,40.15927866,8.99085951
2014-01-04,45.68,41,51.8,0,11.1847,290,7.605596,0.6,48,61.6,1016.6,2966.66904,0,10.8,41.68714824,49.11039726,36.01054604,9.213168732
2014-01-05,43.7,37.22,49.28,0,14.987498,360,7.158208,-3.4,36,49.9,1020.7,3247.22482,0,12.06,39.51345629,46.24985494,31.69054173,9.269537908
2014-01-06,43.34,36.5,51.08,0,10.289924,20,5.144962,-2.9,35,51.9,1024.5,2922.22456,0,14.58,40.29331403,49.40401881,32.24199353,9.147737711
2014-01-07,47.84,38.12,54.14,0.00393701,11.1847,50,5.144962,1.9,45,63.1,1020.7,2066.66832,0,16.02,45.59023542,53.00592536,34.14888523,9.018878969
2014-01-08,44.6,39.56,51.26,1.62598513,19.237684,20,12.974252,3.2,51,77.8,1017.2,155.55568,0,11.7,38.31802792,46.74767459,31.93883584,9.857633753
2014-01-09,35.42,32.9,39.56,0.00393701,22.145706,320,14.763804,-4.1,56,64.5,1025.8,766.66728,0,6.66,26.05008072,31.34584333,22.82657304,10.04389327
2014-01-10,38.48,32.72,43.16,0.00393701,13.869028,20,6.71082,-1.5,54,69.6,1029.7,1441.66782,0,10.44,33.48332052,39.10504218,26.56427848,9.156889187
2014-01-11,41.72,38.48,45.5,0,11.855782,320,6.263432,-2.5,45,56.9,1029.2,2736.1133,0,7.02,37.64198165,42.15854599,33.77064078,9.108435912
2014-01-12,42.8,35.78,48.02,0,17.671826,360,8.500372,-1.6,46,58.3,1026.6,1430.5567,0,12.24,37.76029739,44.147327,29.17084377,9.655546826
2014-01-13,37.4,36.32,39.92,0,12.974252,320,8.052984,-4.7,44,57,1028.2,2261.11292,0,3.6,31.39274681,34.46307198,30.07689317,9.207905628
2014-01-14,38.12,32.18,43.16,0,14.763804,360,7.381902,-6.2,30,49.9,1028.8,3305.5582,0,10.98,32.64550144,38.74456108,25.457324,9.28533243
2014-01-15,39.74,37.76,43.7,0,15.434886,20,10.289924,-3.8,46,55.5,1029.7,2088.89056,0,5.94,33.19600767,38.11534788,30.73633757,9.389660884
2014-01-16,41.18,36.68,44.96,0,10.289924,360,5.368656,-3,45,56,1026.8,2522.22424,0,8.28,37.58965729,42.05342107,32.2756528,9.063811724
2014-01-17,43.88,37.22,49.1,0,10.737312,340,6.039738,-2.1,36,54,1024.3,2802.78002,0,11.88,40.35509302,46.57488854,32.41949184,9.089633217
2014-01-18,43.34,40.1,46.04,0,20.356154,360,13.645334,-1.5,51,57.5,1026.2,813.88954,0,5.94,36.51297304,39.94448905,32.39515384,9.962318345
2014-01-19,40.82,35.42,45.14,0,10.961006,20,5.144962,-1.6,54,62.9,1026.3,3452.78054,0,9.72,37.32703806,42.41208259,30.97073239,9.098670006
2014-01-20,46.4,40.1,50.72,0,24.382646,320,13.869028,0.2,40,58.6,1019.5,1547.22346,0,10.62,40.33904543,45.83677969,32.32151631,10.0232419
2014-01-21,37.22,34.52,40.46,0.01968505,24.830034,320,16.553356,-3.3,44,64,1023.6,969.44522,0,5.94,27.78875923,31.97263491,24.30219615,10.1347643
2014-01-22,39.38,36.68,42.62,0,13.42164,320,8.276678,-3.1,49,59.1,1026.2,1783.33476,0,5.94,33.689116,37.64517345,30.39240146,9.198448834
