datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,39.2,32.54,46.22,0,17.448132,603.9738,8.276678,-5.5,29,51.3,1003.6,1713.89026,0,13.68,33.46933503,42.04079283,25.33743916,9.49440751
2014-01-02,34.7,29.66,43.16,0,8.94776,514.4962,4.47388,-12.9,17,35.4,1010.4,2550.00204,0,13.5,30.72433881,40.57860932,24.85370956,8.991277378
2014-01-03,36.14,30.02,45.14,0,12.079476,715.8208,5.59235,-6.2,32,54.4,1006.9,1302.77882,0,15.12,31.46390744,42.12490704,24.2144277,9.05625934
2014-01-04,31.82,25.34,42.08,0,10.513618,648.7126,5.368656,-10.3,33,47.1,1008.8,2261.11292,0,16.74,26.53652794,38.65245819,18.88436147,8.977527966
2014-01-05,30.56,24.26,38.84,0,9.842536,648.7126,4.250186,-10.7,27,48.4,1013.1,1966.66824,0,14.58,26.13768187,35.74551858,18.82737133,9.104501718
2014-01-06,33.44,25.34,43.52,0,8.500372,648.7126,3.579104,-8.6,31,50.4,1017.3,2194.4462,0,18.18,30.21299536,41.76217448,20.93240501,9.053041782
2014-01-07,37.4,32.54,41.9,0,6.71082,447.388,3.802798,-4.9,43,56,1014.6,933.33408,0,9.36,34.51396148,39.69283981,28.92077289,9.068264968
2014-01-08,32.9,21.74,39.2,0,13.42164,603.9738,7.381902,-7.8,31,56.6,1010.9,1552.77902,0,17.46,26.32861823,33.95244279,12.82355759,9.021935621
2014-01-09,17.96,13.28,24.26,0,15.211192,648.7126,8.052984,-24.3,13,26.3,1017.9,2794.44668,0,10.98,7.707381211,15.38319414,2.005348751,9.133532226
2014-01-10,23.54,15.26,30.38,0,9.395148,603.9738,4.47388,-14.2,30,48.6,1020.6,1919.44598,0,15.12,17.72508834,25.69237088,8.08048315,9.111641038
2014-01-11,28.94,22.28,36.32,0,9.171454,514.4962,4.250186,-14.7,14,44.1,1020.4,2102.77946,0,14.04,24.25788773,32.82139437,16.52984516,9.027477697
2014-01-12,27.68,18.14,36.5,0,14.987498,648.7126,7.605596,-13.8,15,43.5,1017.6,1966.66824,0,18.36,19.85406286,30.5522747,8.282527616,9.078050322
2014-01-13,20.84,13.1,29.12,0,11.855782,648.7126,6.487126,-23.1,15,26,1021.8,2822.22448,0,16.02,12.49065323,22.4108097,3.217463485,8.939230531
2014-01-14,24.26,15.98,33.98,0,10.961006,648.7126,4.921268,-18.4,18,33.8,1022.2,2566.66872,0,18,18.06812109,29.47119859,8.354388409,8.922551646
2014-01-15,26.78,18.32,35.96,0,10.06623,648.7126,3.802798,-14.3,22,42,1021.7,2525.00202,0,17.64,22.29180862,32.85672042,12.55551737,8.944863126
2014-01-16,32.18,24.8,38.48,0,8.500372,603.9738,4.250186,-6.9,48,59.9,1018.1,1150.00092,0,13.68,28.01747601,35.32778655,19.45396938,9.068856218
2014-01-17,31.82,25.34,38.84,0,7.82929,648.7126,3.579104,-8.7,28,55.9,1015.9,1858.33482,0,13.5,28.35687729,36.4000556,20.93240501,9.070658812
2014-01-18,28.04,23.18,33.44,0,15.882274,648.7126,6.934514,-13.7,25,42.4,1016.9,2658.33546,0,10.26,20.7730519,27.27612075,14.92028994,9.061102213
2014-01-19,27.32,18.68,36.32,0,9.395148,201.3246,4.250186,-13.4,22,44.8,1017.7,2313.89074,0,17.64,22.37809359,32.82139437,12.35252485,9.015580864
2014-01-20,29.3,24.44,35.42,0.20866153,15.211192,648.7126,7.158208,-3.9,64,83.3,1008.6,708.3339,2.0866153,10.98,22.12920172,29.51750991,16.2620158,9.31532
2014-01-21,22.1,19.04,26.42,0.02755907,10.06623,648.7126,5.368656,-11.4,56,62.6,1014.5,1494.44564,2.4015761,7.38,15.05827823,20.15972255,11.44475517,9.103470747
2014-01-22,24.98,14.9,34.88,0,7.82929,559.235,3.579104,-10.8,36,60,1018,2666.6688,1.7716545,19.98,20.51993432,31.8628781,8.970755209,8.987819837
2014-01-23,30.56,22.64,39.38,0,9.395148,447.388,4.697574,-6.6,46,65.6,1015.7,2100.00168,1.4960638,16.74,25.67608833,35.98724407,16.41709134,9.054251701
2014-01-24,37.4,30.02,42.26,0,8.052984,111.847,5.816044,-3,55,64.4,1010.3,858.33402,0.9842525,12.24,32.79260213,38.56676799,24.02442434,9.145331875
2014-01-25,39.56,31.28,43.34,0.1181103,14.092722,603.9738,5.368656,-0.1,51,74.4,1006.2,397.22254,0,12.06,35.67661568,40.14037945,25.8988474,9.079894721
2014-01-26,28.22,22.46,36.14,0,10.289924,648.7126,6.039738,-13.4,29,42.1,1016.9,3194.447,0,13.68,21.69570645,31.13263759,14.83248381,9.03722694
2014-01-27,32.36,22.28,42.8,0,14.092722,514.4962,5.816044,-10.5,17,48,1013.4,2744.44664,0,20.52,26.80457827,39.20834198,14.82853056,9.019671806
