datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,heat_index
2023-08-01,85.82,77.9,93.56,0,6.934514,270,4.250186,24,71.6,1000.3,5902.777825,0,8.7,95.32133293,118.9549359,77.9,117.7595074
2023-08-02,85.46,80.24,92.66,0,10.737312,270,4.697574,22.7,67.8,997.5,6891.666722,0,6.9,92.90152354,112.5031901,83.05502889,112.5101885
2023-08-03,85.1,78.44,92.84,0,8.94776,250,4.697574,22.5,67,995.9,7055.555612,0,8,91.81165646,112.411236,78.44,110.5812688
2023-08-04,86,79.7,93.92,0,8.724066,270,4.250186,23.1,67.6,994.2,6425.000051,0,7.9,94.04600063,116.4673039,79.7,114.0955419
2023-08-05,86.54,79.52,94.82,0,10.513618,320,4.47388,23.7,69,990.6,7586.111172,0,8.5,95.94125687,120.938904,79.52,117.4602688
2023-08-06,85.64,80.6,91.4,0.19291349,17.224438,290,3.802798,25.1,76.5,988.3,3597.222251,0,6,97.04706732,115.5670965,84.95246352,122.7848016
2023-08-07,86.72,81.14,94.28,0,10.06623,50,6.039738,23.8,68.4,989.5,4397.222257,0,7.3,96.10489551,118.4461294,84.59327448,117.4286984
2023-08-08,87.62,79.52,96.44,0,9.618842,50,6.487126,22.2,60.5,992.2,6655.555609,0,9.4,94.56303506,117.9924493,79.52,112.0941025
2023-08-09,82.94,77.18,88.88,0.00787402,13.197946,70,7.158208,21.7,67.6,993.7,3794.444475,0,6.5,87.63875118,101.2247794,77.18,104.6052076
2023-08-10,71.96,69.62,77.18,3.38976561,19.908766,340,8.276678,20.8,91.9,986.1,672.2222276,0,4.2,71.96,77.18,69.62,87.53680189
2023-08-11,74.3,70.88,76.82,1.83858367,13.869028,200,5.144962,22.2,93.1,988.9,1094.444453,0,3.3,74.3,76.82,70.88,94.39649076
2023-08-12,73.94,72.5,75.38,0.05905515,7.158208,160,4.250186,21.7,91,993.8,1163.888898,0,1.6,73.94,75.38,72.5,92.49445767
2023-08-13,80.6,72.68,87.98,0,6.263432,140,3.802798,22.3,76.9,994.5,4858.333372,0,8.5,85.01750811,104.2138194,72.68,104.7563205
2023-08-14,82.58,76.64,89.42,0,8.724066,270,3.579104,23.1,75.4,995.6,3808.333364,0,7.1,88.94725341,107.8539399,76.64,110.0672718
2023-08-15,83.48,76.46,90.86,0,10.513618,320,5.144962,22.7,71.4,994.6,6066.666715,0,8,89.78904358,109.5936291,76.46,109.4548941
2023-08-16,81.14,76.46,88.88,0.01181103,8.500372,270,4.697574,21.7,72,993.7,4294.444479,0,6.9,85.22657044,103.9006378,76.46,102.7486473
2023-08-17,82.76,76.1,90.32,0,7.158208,140,3.802798,22.6,73,994.6,5066.666707,0,7.9,88.69570819,109.051209,76.1,108.5327298
2023-08-18,84.38,77.9,91.94,0.00393701,8.724066,270,4.250186,23.3,72.1,996.3,5433.333377,0,7.8,92.03942282,113.724369,77.9,113.1438806
2023-08-19,84.38,79.52,92.48,0,9.171454,270,4.250186,22.5,68.9,999.5,5900.000047,0,7.2,90.93044301,112.8389811,79.52,110.0693661
