datatime,temp,tempmin,tempmax,precip,windgust,winddir,windspeed,dew,humiditymin,humidity,pressure,solarradiation,snow,Temp_Range,feelslike,feelslikemax,feelslikemin,Predicted_Health_Risk_Score
2014-01-01,41.54,37.22,44.78,0.00393701,20.13246,230,10.513618,-9,24,35.5,983.3,3247.397972,4.724412,7.56,35.34202049,39.37386784,29.96622402,9.541056233
2014-01-02,38.3,34.52,44.24,0,17.448132,50,6.934514,-3.7,32,59.3,991.3,3247.397972,2.755907,9.72,33.12888271,40.28225844,28.57673452,9.36425813
2014-01-03,43.34,36.86,47.66,0,15.882274,230,9.842536,-5.4,32,43.3,987.7,3247.397972,1.574804,10.8,37.84536577,43.19291358,29.82404406,9.186068124
2014-01-04,31.82,30.38,43.7,0.01968505,23.264176,50,17.000744,-3.9,48,75.5,991.4,3247.397972,0.393701,13.32,20.66725252,36.0421564,18.8036278,10.18377424
2014-01-05,32.36,31.28,34.52,1.18897702,16.77705,50,8.276678,-2.6,66,82,994.5,3247.397972,11.81103,3.24,25.11765819,27.75502983,23.79897238,9.470216178
2014-01-06,33.98,31.46,37.4,0.4330711,12.750558,50,6.263432,-0.4,74,89.6,999.4,3247.397972,16.1023709,5.94,28.39377847,32.48019383,25.38273557,9.099656534
2014-01-07,40.28,36.5,44.78,0.01968505,17.89552,230,8.500372,-2.5,29,62.4,995.5,3247.397972,14.566937,8.28,34.67690378,40.18296379,30.05181337,9.675934837
2014-01-08,39.38,35.42,42.62,0.2362206,16.77705,50,7.82929,-0.5,41,73.4,989.4,3247.397972,9.055123,7.2,33.92391401,37.86277781,29.10974714,9.512361535
2014-01-09,24.8,21.92,35.42,1.24803217,27.290668,50,14.316416,-5.4,65,90.3,993.6,3247.397972,19.1732387,13.5,12.65530877,26.20578793,8.980602552,10.03771881
2014-01-10,28.04,22.46,33.08,0.00393701,10.737312,320,5.816044,-9.8,41,56.3,999.1,3247.397972,19.291349,10.62,21.6719864,27.66001025,15.04238856,9.047705617
2014-01-11,33.26,30.02,37.76,0,12.30317,250,5.368656,-8.7,39,49.6,999.9,3247.397972,16.8110327,7.74,28.23700938,33.55101388,24.41092614,9.046549366
2014-01-12,33.44,27.5,36.86,0.2755907,17.224438,70,7.605596,-5.7,39,63.8,996.3,3247.397972,13.3464639,9.36,26.84065018,30.9889364,19.63573201,9.483791048
2014-01-13,27.5,25.88,30.92,0.84645715,15.434886,50,8.276678,-6.5,44,76,1000.2,3247.397972,22.6378075,5.04,19.18357202,23.35941044,17.2055433,9.383941455
2014-01-14,30.38,26.06,33.98,0.04330711,12.30317,340,5.59235,-8,43,59.3,1001.9,3247.397972,20.7480427,7.92,24.64086769,28.90526753,19.52358788,9.024256047
2014-01-15,33.98,29.48,39.74,0.0393701,15.434886,340,5.816044,-5.7,40,61,1000.5,3247.397972,20.1181211,10.26,28.72930023,35.57275607,23.38285036,9.334391976
